model,optimizer,mae_x_cm,mae_y_cm,mae_z_cm,mae_overall_cm,epochs
GRU,adam,5.389063432812691,9.430191665887833,6.671535223722458,7.163596898317337,20
GRU,rmsprop,5.299752578139305,9.424664080142975,6.957718729972839,7.227378338575363,18
LSTM,rmsprop,5.213542282581329,9.500730782747269,6.990131735801697,7.234802097082138,42
Dense_wide,rmsprop,5.343378335237503,9.627385437488556,7.2334036231040955,7.401389628648758,13
LSTM,adam,5.314872786402702,9.818003326654434,7.153135538101196,7.4286699295043945,20
Dense_shallow,rmsprop,5.357589945197105,9.719226509332657,7.346736639738083,7.474517822265625,24
GRU,sgd,5.55296503007412,9.792591631412506,7.209497690200806,7.518351078033447,100
Dense_shallow,adam,5.409527197480202,9.932142496109009,7.272899895906448,7.538188993930817,16
Dense_shallow,sgd,5.4327793419361115,10.07804125547409,7.273495942354202,7.594772428274155,66
Dense_wide,adam,5.493420362472534,10.05532369017601,7.516705244779587,7.688482850790024,15
Dense_wide,sgd,5.413392558693886,10.271655023097992,7.437676191329956,7.707574963569641,36
Conv1D,sgd,5.264963582158089,11.2212173640728,7.127776741981506,7.871319353580475,100
Conv1D,rmsprop,5.114050582051277,11.269953101873398,7.2903648018836975,7.891456037759781,17
Dense_deep,sgd,5.443181097507477,10.889338701963425,7.420753687620163,7.917757332324982,50
Conv1D,adam,5.290636420249939,11.23451516032219,7.24792554974556,7.924359291791916,17
LSTM,sgd,5.349316447973251,12.91179209947586,7.658876478672028,8.639994263648987,100
Dense_deep,adam,5.5221255868673325,12.439529597759247,8.009973168373108,8.657209575176239,13
Dense_deep,rmsprop,5.7855673134326935,13.607670366764069,8.328793197870255,9.240677952766418,11
