run,problem,architecture,optimizer,batch_size,avg_p_start,avg_r_start,avg_f1_start,avg_p_stop,avg_r_stop,avg_f1_stop,avg_epochs,test_f1_start,test_f1_stop
A_Kinect_LSTM_adam_bs64,A_Kinect,LSTM,adam,64,0.10231726501715195,0.4631894986733696,0.16619514900170448,0.21227429994973704,0.6035702416559844,0.30472068448123074,41.333333333333336,0.20276497695852536,0.390625
A_Kinect_Dense_relu_adam_bs32,A_Kinect,Dense_relu,adam,32,0.09043809433408194,0.5496020108923335,0.15505290602128088,0.21802338306802524,0.6966481507857379,0.3313352398687594,32.666666666666664,0.181360201511335,0.33121019108280253
A_Kinect_LSTM_rmsprop_bs32,A_Kinect,LSTM,rmsprop,32,0.09127513599951233,0.5021505376344085,0.1535780548813888,0.3309670701886271,0.5477614774723448,0.40714462211867697,18.333333333333332,0.17692307692307693,0.4444444444444444
B_PoseNet_GRU_rmsprop_bs64,B_PoseNet,GRU,rmsprop,64,0.08948881721479686,0.5216589861751152,0.15252236890797008,0.22426503247768492,0.54507904856858,0.3170453043975715,28.333333333333332,0.1842818428184282,0.3559322033898305
A_Kinect_GRU_adam_bs64,A_Kinect,GRU,adam,64,0.09000820805796698,0.4762742633710375,0.15126227514860016,0.2009636289089565,0.6012201490765797,0.30086328794187894,46.666666666666664,0.1794871794871795,0.3225806451612903
A_Kinect_LSTM_adam_bs32,A_Kinect,LSTM,adam,32,0.09052723878803058,0.46103896103896097,0.14899677410286546,0.21805220761298708,0.615225751317476,0.3182662453632799,34.333333333333336,0.17880794701986755,0.3106796116504854
B_PoseNet_LSTM_adam_bs32,B_PoseNet,LSTM,adam,32,0.08958215666115839,0.4179444211702276,0.14582208784316775,0.20930045415934548,0.6375872382851445,0.3144618746710244,38.666666666666664,0.18181818181818182,0.34177215189873417
A_Kinect_LSTM_rmsprop_bs64,A_Kinect,LSTM,rmsprop,64,0.08283981781547195,0.588353581901969,0.14517803688565703,0.31118209747242004,0.4916203769643451,0.3737122513975521,21.333333333333332,0.18461538461538463,0.41379310344827586
B_PoseNet_Dense_relu_rmsprop_bs64,B_PoseNet,Dense_relu,rmsprop,64,0.08466484424608704,0.5042033235581623,0.144307724190982,0.2515640061692693,0.6546550823719318,0.3607729830500996,17.0,0.1987179487179487,0.390625
A_Kinect_GRU_rmsprop_bs64,A_Kinect,GRU,rmsprop,64,0.08278149634575731,0.5514872224549644,0.14310266743286387,0.17961052750395998,0.5671081992118882,0.2702348276479299,20.0,0.1522491349480969,0.28865979381443296
A_Kinect_Dense_relu_rmsprop_bs32,A_Kinect,Dense_relu,rmsprop,32,0.08486786147341281,0.45687753107107937,0.1430521893424769,0.22381973128489308,0.6883872192944974,0.3358327752201782,16.666666666666668,0.19411764705882353,0.4142857142857143
B_PoseNet_Conv1D_adam_bs64,B_PoseNet,Conv1D,adam,64,0.0835613161756884,0.46126239352045806,0.14146981952291685,0.15945438976615925,0.6491240564022219,0.2558253731428604,23.333333333333332,0.15015015015015015,0.28837209302325584
