FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
225,0.028822,0.80316,0.023555,-0.13248,0.58477,-0.032603,-0.22287,0.82498,-0.1627,0.20125,0.56424,-0.025389,0.33637,0.79172,-0.15877,-0.23521,1.0866,-0.27338,0.37221,1.0286,-0.29921,-0.061777,0.004204,-0.055347,0.10402,-0.000209,-0.059521,-0.09627,-0.44632,-0.071877,0.13467,-0.48698,-0.039781,-0.088595,-0.85613,-0.047579,0.13289,-0.87611,-0.025742
226,0.027919,0.80429,0.025091,-0.13341,0.5853,-0.033001,-0.22311,0.82655,-0.16305,0.2004,0.56493,-0.025471,0.33592,0.79217,-0.15897,-0.23516,1.0885,-0.2728,0.37149,1.0292,-0.29978,-0.062131,0.004735,-0.056442,0.1034,0.000239,-0.060332,-0.096924,-0.44517,-0.069763,0.13374,-0.48636,-0.037172,-0.088798,-0.85441,-0.046911,0.13291,-0.87561,-0.024836
227,0.026332,0.80632,0.027145,-0.13478,0.58652,-0.034046,-0.22364,0.82855,-0.16387,0.19914,0.56611,-0.026022,0.33527,0.79278,-0.15964,-0.2352,1.0909,-0.27234,0.37045,1.0299,-0.30118,-0.062634,0.005876,-0.058012,0.10265,0.001241,-0.061508,-0.097644,-0.4429,-0.068172,0.13282,-0.48647,-0.034739,-0.08909,-0.85173,-0.046067,0.13284,-0.87456,-0.024164
228,0.02467,0.8083,0.029238,-0.13615,0.58776,-0.035292,-0.22424,0.8303,-0.16476,0.19788,0.56721,-0.02665,0.33466,0.79329,-0.16045,-0.23523,1.0932,-0.27204,0.36939,1.0305,-0.30273,-0.063115,0.006944,-0.059555,0.10191,0.002191,-0.062686,-0.098334,-0.44082,-0.066993,0.13203,-0.48725,-0.032609,-0.089421,-0.84903,-0.045216,0.13277,-0.87346,-0.023446
229,0.022856,0.81008,0.031305,-0.13738,0.58828,-0.036629,-0.22497,0.83181,-0.1657,0.19653,0.56825,-0.027357,0.33399,0.79373,-0.16138,-0.23524,1.0952,-0.27195,0.3683,1.0308,-0.30446,-0.063715,0.00797,-0.061325,0.10104,0.003084,-0.064035,-0.099072,-0.4388,-0.066234,0.13133,-0.48832,-0.03094,-0.089717,-0.84635,-0.044493,0.13272,-0.87246,-0.022864
230,0.020941,0.81181,0.033369,-0.1384,0.5884,-0.037982,-0.2257,0.83286,-0.16662,0.19509,0.56924,-0.028121,0.33324,0.79407,-0.16239,-0.23526,1.0967,-0.27179,0.36727,1.0312,-0.30624,-0.064292,0.008847,-0.062823,0.10015,0.003918,-0.06553,-0.09982,-0.4368,-0.06591,0.13073,-0.4889,-0.029519,-0.09003,-0.84376,-0.043786,0.13263,-0.87156,-0.022401
231,0.019053,0.81339,0.035262,-0.13926,0.5884,-0.039282,-0.22653,0.83362,-0.16749,0.19372,0.57022,-0.028855,0.33259,0.79436,-0.1634,-0.23541,1.098,-0.27155,0.36629,1.0313,-0.308,-0.064934,0.009657,-0.064412,0.099288,0.004732,-0.067117,-0.10061,-0.43482,-0.065986,0.13043,-0.48951,-0.029095,-0.090312,-0.84163,-0.043263,0.13249,-0.87101,-0.022003
232,0.017111,0.81491,0.037263,-0.14001,0.5884,-0.040422,-0.22743,0.83413,-0.16825,0.19253,0.57121,-0.029524,0.33208,0.79464,-0.1644,-0.23567,1.099,-0.27132,0.36539,1.0314,-0.30969,-0.065509,0.010401,-0.065955,0.098548,0.005534,-0.068617,-0.10144,-0.43304,-0.066065,0.13027,-0.48951,-0.028957,-0.090523,-0.83992,-0.042814,0.13231,-0.87031,-0.021637
233,0.015068,0.81638,0.039246,-0.14054,0.5884,-0.041392,-0.2283,0.83442,-0.16898,0.19145,0.57212,-0.030136,0.33154,0.79493,-0.16558,-0.23609,1.0997,-0.27117,0.36445,1.0314,-0.31147,-0.066021,0.011025,-0.067541,0.09794,0.006183,-0.0701,-0.10219,-0.43134,-0.066137,0.13012,-0.48951,-0.02889,-0.090656,-0.83848,-0.042612,0.13213,-0.86969,-0.021586
234,0.013084,0.81764,0.041055,-0.14131,0.58839,-0.042385,-0.22913,0.83488,-0.16977,0.19048,0.57305,-0.030704,0.33102,0.7952,-0.1668,-0.2367,1.1004,-0.27111,0.36356,1.0314,-0.31314,-0.066469,0.011655,-0.069146,0.097457,0.006856,-0.071558,-0.10287,-0.42968,-0.066357,0.13005,-0.48852,-0.028896,-0.09077,-0.83709,-0.042435,0.13192,-0.869,-0.021474
