FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
182,0.046554,0.55573,-0.11153,-0.10994,0.33496,-0.097719,-0.20646,0.54304,-0.28616,0.20918,0.33857,-0.079955,0.35303,0.54211,-0.24472,-0.23264,0.76589,-0.47828,0.41953,0.74812,-0.42836,-0.063928,-0.21555,0.10051,0.11093,-0.21792,0.11123,-0.11561,-0.47389,-0.20912,0.23181,-0.47245,-0.18134,-0.094576,-0.89206,-0.099417,0.17377,-0.9097,-0.10468
183,0.047098,0.56466,-0.10759,-0.11003,0.3444,-0.095881,-0.20611,0.55444,-0.28295,0.21004,0.3464,-0.078345,0.35347,0.55313,-0.23979,-0.23201,0.77886,-0.47306,0.41918,0.7613,-0.42324,-0.06427,-0.20746,0.098111,0.11066,-0.21043,0.10894,-0.11538,-0.47024,-0.20746,0.23162,-0.46911,-0.17939,-0.095825,-0.89206,-0.10389,0.17431,-0.90682,-0.10434
184,0.047482,0.57369,-0.10273,-0.11007,0.35348,-0.0943,-0.20581,0.56578,-0.27966,0.21116,0.35768,-0.075817,0.35398,0.56629,-0.23472,-0.2314,0.79182,-0.46766,0.41867,0.77599,-0.41773,-0.064698,-0.19886,0.095533,0.11012,-0.20219,0.10643,-0.11512,-0.46604,-0.20586,0.23131,-0.46533,-0.17718,-0.097111,-0.89206,-0.10842,0.1749,-0.90364,-0.10398
185,0.047738,0.58237,-0.097041,-0.11025,0.36368,-0.09241,-0.20553,0.57752,-0.27625,0.21224,0.36959,-0.073084,0.3545,0.57997,-0.22989,-0.2307,0.80514,-0.46221,0.41813,0.79055,-0.41219,-0.065225,-0.18985,0.092871,0.10934,-0.19344,0.10386,-0.11482,-0.4616,-0.20406,0.23082,-0.46123,-0.17473,-0.097649,-0.89206,-0.10876,0.17546,-0.90017,-0.10338
186,0.047838,0.59029,-0.091543,-0.11043,0.37332,-0.090564,-0.20533,0.58937,-0.27279,0.21319,0.38231,-0.070077,0.35505,0.59306,-0.22549,-0.22997,0.81825,-0.45711,0.41763,0.80456,-0.40637,-0.06575,-0.18072,0.089885,0.10861,-0.18437,0.10109,-0.11458,-0.45739,-0.20218,0.23005,-0.45701,-0.17224,-0.098104,-0.89158,-0.10894,0.1759,-0.89651,-0.10291
187,0.047835,0.59781,-0.085741,-0.11068,0.38314,-0.088728,-0.2051,0.60037,-0.2694,0.21353,0.39277,-0.067665,0.35541,0.60511,-0.22173,-0.22933,0.83052,-0.45212,0.41713,0.82054,-0.40122,-0.066099,-0.17196,0.087052,0.10787,-0.17575,0.09819,-0.1143,-0.45276,-0.2007,0.22911,-0.45263,-0.17033,-0.098545,-0.89057,-0.10899,0.17636,-0.89271,-0.10271
188,0.047705,0.60481,-0.080049,-0.11107,0.39424,-0.086419,-0.20479,0.61226,-0.26609,0.21394,0.40225,-0.065507,0.35556,0.61619,-0.21742,-0.22856,0.84354,-0.44736,0.41682,0.83345,-0.39621,-0.066453,-0.16225,0.083893,0.1069,-0.16705,0.094935,-0.11389,-0.44789,-0.1985,0.22788,-0.44844,-0.16818,-0.098986,-0.88624,-0.10936,0.17648,-0.88898,-0.1024
189,0.04751,0.60897,-0.07396,-0.11146,0.40335,-0.084545,-0.20467,0.62308,-0.26232,0.2144,0.4121,-0.063365,0.35582,0.62726,-0.21374,-0.22776,0.85555,-0.44194,0.4165,0.84621,-0.39178,-0.066637,-0.15308,0.080668,0.10577,-0.15851,0.09163,-0.11349,-0.44323,-0.19656,0.22635,-0.44446,-0.16603,-0.099508,-0.88206,-0.10923,0.1766,-0.88544,-0.10187
190,0.047175,0.61171,-0.067781,-0.11191,0.41114,-0.082509,-0.20464,0.63272,-0.258,0.21473,0.42011,-0.061383,0.35607,0.63682,-0.20995,-0.22693,0.86666,-0.43552,0.41601,0.85783,-0.38704,-0.066812,-0.14527,0.077587,0.10453,-0.15134,0.088421,-0.11305,-0.43941,-0.19488,0.22484,-0.44121,-0.16421,-0.099967,-0.87873,-0.10936,0.17675,-0.88262,-0.10163
191,0.046738,0.61423,-0.061562,-0.11237,0.4186,-0.08048,-0.20451,0.64206,-0.25357,0.21514,0.43006,-0.058595,0.35648,0.64637,-0.20715,-0.2262,0.87705,-0.42953,0.41555,0.86947,-0.38266,-0.066671,-0.13791,0.074686,0.10359,-0.14424,0.085084,-0.11285,-0.43588,-0.19328,0.22311,-0.43836,-0.1623,-0.10025,-0.87566,-0.1096,0.17674,-0.88024,-0.10117
192,0.046188,0.61691,-0.055782,-0.11284,0.42511,-0.07853,-0.20423,0.65078,-0.24864,0.21548,0.43998,-0.05583,0.35629,0.65587,-0.20388,-0.22534,0.88713,-0.42258,0.41505,0.88073,-0.3778,-0.066387,-0.13082,0.071725,0.103,-0.13722,0.081647,-0.11279,-0.43262,-0.19151,0.22128,-0.43582,-0.16033,-0.10056,-0.87287,-0.11003,0.17656,-0.87828,-0.10077
193,0.045713,0.61934,-0.050823,-0.1133,0.43181,-0.076534,-0.2041,0.65962,-0.24367,0.21543,0.44646,-0.053982,0.35596,0.66348,-0.20045,-0.22479,0.89755,-0.41516,0.41431,0.89125,-0.37216,-0.066292,-0.12443,0.068866,0.10242,-0.13104,0.078282,-0.11256,-0.42975,-0.18973,0.21957,-0.43368,-0.15864,-0.10086,-0.87038,-0.11024,0.17654,-0.87655,-0.10055
