run,problem,architecture,optimizer,batch_size,avg_f1,avg_p,avg_r,avg_epochs,test_f1
A_Kinect_Dense_relu_adam_bs64,A_Kinect,Dense_relu,adam,64,0.9494464599947943,0.9214460305062514,0.9792082771374502,81.33333333333333,0.948843728100911
A_Kinect_Dense_relu_adam_bs32,A_Kinect,Dense_relu,adam,32,0.9456869648872676,0.912499023021148,0.9814559384840078,72.33333333333333,0.9439775910364145
B_PoseNet_Dense_relu_adam_bs64,B_PoseNet,Dense_relu,adam,64,0.9378048261537056,0.904321581065244,0.9739900824608375,77.33333333333333,0.9426485922836287
B_PoseNet_Dense_relu_adam_bs32,B_PoseNet,Dense_relu,adam,32,0.9339650032654129,0.9005934223996852,0.9699763006862895,64.33333333333333,0.9372822299651568
A_Kinect_Dense_relu_rmsprop_bs64,A_Kinect,Dense_relu,rmsprop,64,0.9329939785956064,0.8998354313884457,0.9687728350144543,54.333333333333336,0.9337517433751743
A_Kinect_Dense_relu_rmsprop_bs32,A_Kinect,Dense_relu,rmsprop,32,0.9241883767228444,0.8896991181046472,0.9614673315372301,39.0,0.9240374609781478
B_PoseNet_Dense_relu_rmsprop_bs64,B_PoseNet,Dense_relu,rmsprop,64,0.92234254707232,0.8849348886782392,0.9630727901196078,58.0,0.9268802228412256
B_PoseNet_Dense_relu_rmsprop_bs32,B_PoseNet,Dense_relu,rmsprop,32,0.9131224832164339,0.8749101516286387,0.9550457098512407,48.666666666666664,0.926589392342817
A_Kinect_Conv1D_adam_bs32,A_Kinect,Conv1D,adam,32,0.8327652499217123,0.7723062309692167,0.903540830227446,54.333333333333336,0.827928524156188
A_Kinect_LSTM_adam_bs32,A_Kinect,LSTM,adam,32,0.8267333481597587,0.7655730022118564,0.8985510984777236,31.0,0.8284102223697312
A_Kinect_Conv1D_adam_bs64,A_Kinect,Conv1D,adam,64,0.8254831613431838,0.7676677219382606,0.8927598635633291,56.0,0.828
A_Kinect_LSTM_rmsprop_bs32,A_Kinect,LSTM,rmsprop,32,0.8245556169432104,0.7763738854101477,0.8791613296059468,32.666666666666664,0.8262783609888249
A_Kinect_LSTM_adam_bs64,A_Kinect,LSTM,adam,64,0.820165562705342,0.7639814381131628,0.8856853163721553,30.333333333333332,0.8245033112582781
A_Kinect_LSTM_rmsprop_bs64,A_Kinect,LSTM,rmsprop,64,0.8186241565131747,0.7765837268721133,0.8658863897021606,34.666666666666664,0.8194957983193277
A_Kinect_Conv1D_rmsprop_bs32,A_Kinect,Conv1D,rmsprop,32,0.8162964270930465,0.7660058899638699,0.8736933014326329,48.333333333333336,0.8189452468928451
A_Kinect_GRU_adam_bs32,A_Kinect,GRU,adam,32,0.8156510708745536,0.7560009639125966,0.8856012485523,31.0,0.8136831617402857
B_PoseNet_Conv1D_adam_bs64,B_PoseNet,Conv1D,adam,64,0.8155099923003636,0.7628939438995047,0.8761039437247238,58.333333333333336,0.8202360876897133
A_Kinect_Conv1D_rmsprop_bs64,A_Kinect,Conv1D,rmsprop,64,0.8143812370564226,0.7707596646250626,0.8642749804748283,50.666666666666664,0.8276096565793948
A_Kinect_GRU_adam_bs64,A_Kinect,GRU,adam,64,0.8126466704444959,0.7555510309447894,0.8791644744347374,32.0,0.8141768797615104
A_Kinect_GRU_rmsprop_bs32,A_Kinect,GRU,rmsprop,32,0.8115159332925455,0.7579717381990746,0.8733711819108877,26.0,0.8090699967137693
B_PoseNet_Conv1D_adam_bs32,B_PoseNet,Conv1D,adam,32,0.8107344558018864,0.7660752715171834,0.8616292566000517,47.0,0.8203412512546002
A_Kinect_GRU_rmsprop_bs64,A_Kinect,GRU,rmsprop,64,0.8095376156181283,0.7658202943213573,0.858567656745724,26.0,0.8180277871907828
B_PoseNet_Conv1D_rmsprop_bs64,B_PoseNet,Conv1D,rmsprop,64,0.7997232193847029,0.7521364518525036,0.8544610097910863,55.333333333333336,0.8146666666666667
B_PoseNet_LSTM_adam_bs32,B_PoseNet,LSTM,adam,32,0.7996634344878477,0.756430522255528,0.8486763965813681,29.0,0.801762114537445
B_PoseNet_LSTM_rmsprop_bs32,B_PoseNet,LSTM,rmsprop,32,0.7991433709103725,0.7714179872824435,0.8292050455449416,30.333333333333332,0.8021164021164021
B_PoseNet_Conv1D_rmsprop_bs32,B_PoseNet,Conv1D,rmsprop,32,0.7964834575250429,0.7602660298789227,0.837082064913138,48.0,0.8092643051771117
B_PoseNet_GRU_adam_bs32,B_PoseNet,GRU,adam,32,0.7940393366437886,0.7359858464658354,0.863308018929314,31.333333333333332,0.8015899304405433
B_PoseNet_GRU_rmsprop_bs32,B_PoseNet,GRU,rmsprop,32,0.793993152232214,0.749062435617784,0.8449737041712876,30.333333333333332,0.7962466487935657
B_PoseNet_GRU_rmsprop_bs64,B_PoseNet,GRU,rmsprop,64,0.7931333036191383,0.7459325424744568,0.8467430404611639,29.333333333333332,0.7970380343318748
B_PoseNet_LSTM_rmsprop_bs64,B_PoseNet,LSTM,rmsprop,64,0.7919016433571686,0.7518383286396242,0.836921830335339,32.333333333333336,0.8002694509936006
B_PoseNet_GRU_adam_bs64,B_PoseNet,GRU,adam,64,0.7910667630366844,0.7379220653225212,0.8530220842372742,31.333333333333332,0.7966273187183811
B_PoseNet_LSTM_adam_bs64,B_PoseNet,LSTM,adam,64,0.7898076918529106,0.737772490491876,0.8497973776809582,22.666666666666668,0.7990591397849462
