clip,filename_label,working_side,peak_margin,lateral_max,contra_rise,lift_seconds,trunk_disp,rubric_label,r1_plane,r2_range,r3_symmetry,r4_tempo,r5_trunk
G02,GOOD,left,0.479,0.213,0.124,1.2,0.257,BAD,True,True,False,True,True
G06,GOOD,right,0.466,0.262,0.069,3.17,0.244,BAD,False,True,True,True,True
G07,GOOD,right,0.438,0.228,0.071,7.5,0.338,BAD,True,True,True,False,True
G09,GOOD,left,0.442,0.236,0.098,0.93,0.368,BAD,True,True,True,True,False
G23,GOOD,right,0.5,0.215,0.105,0.53,0.106,BAD,True,True,True,False,True
G24,GOOD,right,0.468,0.213,0.115,0.8,0.092,BAD,True,True,False,True,True
G25,GOOD,left,0.448,0.173,0.019,6.43,0.182,BAD,True,True,True,False,True
G28,GOOD,left,0.445,0.271,0.051,0.63,0.177,BAD,False,True,True,True,True
G31,GOOD,left,0.489,0.177,0.028,0.2,0.179,BAD,True,True,True,False,True
G33,GOOD,left,0.432,0.248,0.096,2.47,0.179,BAD,True,False,True,True,True
G34,GOOD,left,0.441,0.264,0.092,0.63,0.163,BAD,False,True,True,True,True
G39,GOOD,left,0.443,0.236,0.091,0.93,0.442,BAD,True,True,True,True,False
G41,GOOD,right,0.461,0.207,0.037,5.0,0.175,BAD,True,True,True,False,True
G42,GOOD,left,0.444,0.277,0.074,0.77,0.346,BAD,False,True,True,True,True
G48,GOOD,left,0.435,0.258,0.095,4.43,0.209,BAD,False,False,True,True,True
G51,GOOD,left,0.434,0.247,0.091,1.87,0.24,BAD,True,False,True,True,True
G55,GOOD,left,0.444,0.159,0.009,0.5,0.426,BAD,True,True,True,False,False
G56,GOOD,right,0.477,0.217,0.109,4.77,0.265,BAD,True,True,True,False,True
G57,GOOD,right,0.484,0.157,0.093,4.77,0.315,BAD,True,True,True,False,True
G59,GOOD,right,0.52,0.113,0.112,4.43,0.228,BAD,True,True,False,True,True
G60,GOOD,left,0.492,0.21,0.117,1.13,0.203,BAD,True,True,False,True,True
G61,GOOD,left,0.479,0.264,0.113,4.83,0.296,BAD,False,True,False,False,True
G63,GOOD,left,0.447,0.236,0.128,3.9,0.283,BAD,True,True,False,True,True
G68,GOOD,right,0.49,0.234,0.078,0.83,0.355,BAD,True,True,True,True,False
G69,GOOD,left,0.434,0.221,0.09,0.73,0.262,BAD,True,False,True,True,True
G71,GOOD,left,0.452,0.258,0.085,4.53,0.186,BAD,False,True,True,True,True
G72,GOOD,left,0.463,0.196,0.138,3.13,0.223,BAD,True,True,False,True,True
G74,GOOD,left,0.436,0.192,0.093,0.37,0.327,BAD,True,False,True,False,True
G78,GOOD,right,0.456,0.243,0.06,0.6,0.378,BAD,True,True,True,True,False
G79,GOOD,right,0.46,0.165,0.087,0.43,0.625,BAD,True,True,True,False,False
G80,GOOD,left,0.433,0.193,0.045,0.6,0.284,BAD,True,False,True,True,True
G81,GOOD,right,0.444,0.167,0.007,0.2,0.198,BAD,True,True,True,False,True
G82,GOOD,left,0.433,0.21,0.096,7.5,0.4,BAD,True,False,True,False,False
W10,BAD,left,0.441,0.154,0.008,0.8,0.151,GOOD,True,True,True,True,True
W11,BAD,left,0.437,0.189,0.087,1.0,0.285,GOOD,True,True,True,True,True
W15,BAD,right,0.45,0.234,0.105,0.73,0.134,GOOD,True,True,True,True,True
W22,BAD,left,0.495,0.187,0.079,0.73,0.097,GOOD,True,True,True,True,True
W25,BAD,right,0.488,0.215,0.036,0.93,0.196,GOOD,True,True,True,True,True
W35,BAD,right,0.527,0.223,0.083,3.73,0.115,GOOD,True,True,True,True,True
W37,BAD,left,0.481,0.129,0.008,0.73,0.106,GOOD,True,True,True,True,True
W39,BAD,right,0.479,0.154,0.069,0.7,0.19,GOOD,True,True,True,True,True
