clip,filename_label,working_side,peak_margin,lateral_max,contra_rise,lift_seconds,trunk_disp
A1,GOOD,left,0.462,0.24,0.086,1.9,0.167
G01,GOOD,left,0.455,0.204,0.084,0.93,0.229
G02,GOOD,left,0.479,0.213,0.124,1.2,0.257
G03,GOOD,left,0.465,0.195,0.035,0.77,0.232
G04,GOOD,right,0.47,0.218,0.089,0.77,0.306
G05,GOOD,left,0.447,0.238,0.064,1.43,0.243
G06,GOOD,right,0.466,0.262,0.069,3.17,0.244
G07,GOOD,right,0.438,0.228,0.071,7.5,0.338
G08,GOOD,right,0.476,0.241,0.095,1.07,0.27
G09,GOOD,left,0.442,0.236,0.098,0.93,0.368
G20,GOOD,left,0.456,0.203,0.095,0.77,0.134
G21,GOOD,left,0.456,0.217,0.088,1.07,0.088
G22,GOOD,left,0.447,0.221,0.096,0.73,0.156
G23,GOOD,right,0.5,0.215,0.105,0.53,0.106
G24,GOOD,right,0.468,0.213,0.115,0.8,0.092
G25,GOOD,left,0.448,0.173,0.019,6.43,0.182
G26,GOOD,right,0.471,0.226,0.085,0.97,0.201
G27,GOOD,left,0.457,0.207,0.1,1.13,0.166
G28,GOOD,left,0.445,0.271,0.051,0.63,0.177
G29,GOOD,left,0.448,0.251,0.054,0.97,0.155
G30,GOOD,right,0.509,0.209,0.104,0.97,0.219
G31,GOOD,left,0.489,0.177,0.028,0.2,0.179
G32,GOOD,right,0.468,0.251,0.054,0.87,0.18
G33,GOOD,left,0.432,0.248,0.096,2.47,0.179
G34,GOOD,left,0.441,0.264,0.092,0.63,0.163
G35,GOOD,left,0.452,0.232,0.084,0.63,0.172
G36,GOOD,left,0.444,0.199,0.107,0.9,0.226
G37,GOOD,right,0.447,0.197,0.088,0.7,0.198
G38,GOOD,right,0.458,0.223,0.074,0.8,0.215
G39,GOOD,left,0.443,0.236,0.091,0.93,0.442
G40,GOOD,right,0.472,0.185,0.027,0.9,0.168
G41,GOOD,right,0.461,0.207,0.037,5.0,0.175
G42,GOOD,left,0.444,0.277,0.074,0.77,0.346
G43,GOOD,left,0.452,0.224,0.099,0.77,0.186
G44,GOOD,left,0.458,0.217,0.087,1.0,0.219
G45,GOOD,left,0.454,0.24,0.084,0.87,0.204
G46,GOOD,left,0.456,0.236,0.088,1.37,0.205
G47,GOOD,left,0.442,0.243,0.086,1.0,0.188
G48,GOOD,left,0.435,0.258,0.095,4.43,0.209
G49,GOOD,left,0.449,0.23,0.091,0.7,0.209
G50,GOOD,right,0.462,0.235,0.054,0.67,0.243
G51,GOOD,left,0.434,0.247,0.091,1.87,0.24
G52,GOOD,left,0.45,0.193,0.027,1.87,0.285
G53,GOOD,left,0.439,0.178,0.007,1.43,0.289
G54,GOOD,left,0.437,0.248,0.086,1.67,0.248
G55,GOOD,left,0.444,0.159,0.009,0.5,0.426
G56,GOOD,right,0.477,0.217,0.109,4.77,0.265
G57,GOOD,right,0.484,0.157,0.093,4.77,0.315
G58,GOOD,right,0.5,0.173,0.021,4.3,0.226
G59,GOOD,right,0.52,0.113,0.112,4.43,0.228
G60,GOOD,left,0.492,0.21,0.117,1.13,0.203
G61,GOOD,left,0.479,0.264,0.113,4.83,0.296
G62,GOOD,right,0.459,0.169,0.111,4.43,0.261
G63,GOOD,left,0.447,0.236,0.128,3.9,0.283
G64,GOOD,right,0.472,0.228,0.066,3.6,0.324
G65,GOOD,right,0.464,0.223,0.105,4.17,0.31
G66,GOOD,right,0.462,0.235,0.105,0.63,0.285
G68,GOOD,right,0.49,0.234,0.078,0.83,0.355
G69,GOOD,left,0.434,0.221,0.09,0.73,0.262
G71,GOOD,left,0.452,0.258,0.085,4.53,0.186
G72,GOOD,left,0.463,0.196,0.138,3.13,0.223
G73,GOOD,left,0.462,0.187,0.089,1.6,0.223
G74,GOOD,left,0.436,0.192,0.093,0.37,0.327
G75,GOOD,left,0.459,0.213,0.099,2.1,0.256
G76,GOOD,right,0.477,0.179,0.102,1.47,0.326
G77,GOOD,right,0.477,0.209,0.059,0.73,0.18
G78,GOOD,right,0.456,0.243,0.06,0.6,0.378
G79,GOOD,right,0.46,0.165,0.087,0.43,0.625
G80,GOOD,left,0.433,0.193,0.045,0.6,0.284
G81,GOOD,right,0.444,0.167,0.007,0.2,0.198
G82,GOOD,left,0.433,0.21,0.096,7.5,0.4
W01,BAD,right,0.433,0.314,0.121,1.7,0.01
W04,BAD,right,0.424,0.235,0.098,1.57,0.253
W05,BAD,right,0.422,0.183,0.096,0.7,0.06
W06,BAD,right,0.417,0.238,0.076,0.57,0.488
W07,BAD,left,0.48,0.271,0.059,0.47,0.194
W08,BAD,right,0.497,0.171,0.142,3.4,0.474
