clip,filename_label,working_side,peak_margin,lateral_max,contra_rise,lift_seconds,trunk_disp,rubric_label,r1_plane,r2_range,r3_symmetry,r4_tempo,r5_trunk
A1,GOOD,left,0.462,0.24,0.086,1.9,0.167,GOOD,True,True,True,True,True
G01,GOOD,left,0.455,0.204,0.084,0.93,0.229,GOOD,True,True,True,True,True
G02,GOOD,left,0.479,0.213,0.124,1.2,0.257,BAD,True,True,False,True,True
G03,GOOD,left,0.465,0.195,0.035,0.77,0.232,GOOD,True,True,True,True,True
G04,GOOD,right,0.47,0.218,0.089,0.77,0.306,GOOD,True,True,True,True,True
G05,GOOD,left,0.447,0.238,0.064,1.43,0.243,GOOD,True,True,True,True,True
G06,GOOD,right,0.466,0.262,0.069,3.17,0.244,BAD,False,True,True,True,True
G07,GOOD,right,0.438,0.228,0.071,7.5,0.338,BAD,True,True,True,False,True
G08,GOOD,right,0.476,0.241,0.095,1.07,0.27,GOOD,True,True,True,True,True
G09,GOOD,left,0.442,0.236,0.098,0.93,0.368,BAD,True,True,True,True,False
G20,GOOD,left,0.456,0.203,0.095,0.77,0.134,GOOD,True,True,True,True,True
G21,GOOD,left,0.456,0.217,0.088,1.07,0.088,GOOD,True,True,True,True,True
G22,GOOD,left,0.447,0.221,0.096,0.73,0.156,GOOD,True,True,True,True,True
G23,GOOD,right,0.5,0.215,0.105,0.53,0.106,BAD,True,True,True,False,True
G24,GOOD,right,0.468,0.213,0.115,0.8,0.092,BAD,True,True,False,True,True
G25,GOOD,left,0.448,0.173,0.019,6.43,0.182,BAD,True,True,True,False,True
G26,GOOD,right,0.471,0.226,0.085,0.97,0.201,GOOD,True,True,True,True,True
G27,GOOD,left,0.457,0.207,0.1,1.13,0.166,GOOD,True,True,True,True,True
G28,GOOD,left,0.445,0.271,0.051,0.63,0.177,BAD,False,True,True,True,True
G29,GOOD,left,0.448,0.251,0.054,0.97,0.155,GOOD,True,True,True,True,True
G30,GOOD,right,0.509,0.209,0.104,0.97,0.219,GOOD,True,True,True,True,True
G31,GOOD,left,0.489,0.177,0.028,0.2,0.179,BAD,True,True,True,False,True
G32,GOOD,right,0.468,0.251,0.054,0.87,0.18,GOOD,True,True,True,True,True
G33,GOOD,left,0.432,0.248,0.096,2.47,0.179,BAD,True,False,True,True,True
G34,GOOD,left,0.441,0.264,0.092,0.63,0.163,BAD,False,True,True,True,True
G35,GOOD,left,0.452,0.232,0.084,0.63,0.172,GOOD,True,True,True,True,True
G36,GOOD,left,0.444,0.199,0.107,0.9,0.226,GOOD,True,True,True,True,True
G37,GOOD,right,0.447,0.197,0.088,0.7,0.198,GOOD,True,True,True,True,True
G38,GOOD,right,0.458,0.223,0.074,0.8,0.215,GOOD,True,True,True,True,True
G39,GOOD,left,0.443,0.236,0.091,0.93,0.442,BAD,True,True,True,True,False
G40,GOOD,right,0.472,0.185,0.027,0.9,0.168,GOOD,True,True,True,True,True
G41,GOOD,right,0.461,0.207,0.037,5.0,0.175,BAD,True,True,True,False,True
G42,GOOD,left,0.444,0.277,0.074,0.77,0.346,BAD,False,True,True,True,True
G43,GOOD,left,0.452,0.224,0.099,0.77,0.186,GOOD,True,True,True,True,True
G44,GOOD,left,0.458,0.217,0.087,1.0,0.219,GOOD,True,True,True,True,True
G45,GOOD,left,0.454,0.24,0.084,0.87,0.204,GOOD,True,True,True,True,True
G46,GOOD,left,0.456,0.236,0.088,1.37,0.205,GOOD,True,True,True,True,True
G47,GOOD,left,0.442,0.243,0.086,1.0,0.188,GOOD,True,True,True,True,True
G48,GOOD,left,0.435,0.258,0.095,4.43,0.209,BAD,False,False,True,True,True
G49,GOOD,left,0.449,0.23,0.091,0.7,0.209,GOOD,True,True,True,True,True
G50,GOOD,right,0.462,0.235,0.054,0.67,0.243,GOOD,True,True,True,True,True
G51,GOOD,left,0.434,0.247,0.091,1.87,0.24,BAD,True,False,True,True,True
G52,GOOD,left,0.45,0.193,0.027,1.87,0.285,GOOD,True,True,True,True,True
G53,GOOD,left,0.439,0.178,0.007,1.43,0.289,GOOD,True,True,True,True,True
G54,GOOD,left,0.437,0.248,0.086,1.67,0.248,GOOD,True,True,True,True,True
G55,GOOD,left,0.444,0.159,0.009,0.5,0.426,BAD,True,True,True,False,False
G56,GOOD,right,0.477,0.217,0.109,4.77,0.265,BAD,True,True,True,False,True
G57,GOOD,right,0.484,0.157,0.093,4.77,0.315,BAD,True,True,True,False,True
G58,GOOD,right,0.5,0.173,0.021,4.3,0.226,GOOD,True,True,True,True,True
G59,GOOD,right,0.52,0.113,0.112,4.43,0.228,BAD,True,True,False,True,True
G60,GOOD,left,0.492,0.21,0.117,1.13,0.203,BAD,True,True,False,True,True
G61,GOOD,left,0.479,0.264,0.113,4.83,0.296,BAD,False,True,False,False,True
G62,GOOD,right,0.459,0.169,0.111,4.43,0.261,GOOD,True,True,True,True,True
G63,GOOD,left,0.447,0.236,0.128,3.9,0.283,BAD,True,True,False,True,True
G64,GOOD,right,0.472,0.228,0.066,3.6,0.324,GOOD,True,True,True,True,True
G65,GOOD,right,0.464,0.223,0.105,4.17,0.31,GOOD,True,True,True,True,True
G66,GOOD,right,0.462,0.235,0.105,0.63,0.285,GOOD,True,True,True,True,True
G68,GOOD,right,0.49,0.234,0.078,0.83,0.355,BAD,True,True,True,True,False
G69,GOOD,left,0.434,0.221,0.09,0.73,0.262,BAD,True,False,True,True,True
G71,GOOD,left,0.452,0.258,0.085,4.53,0.186,BAD,False,True,True,True,True
G72,GOOD,left,0.463,0.196,0.138,3.13,0.223,BAD,True,True,False,True,True
G73,GOOD,left,0.462,0.187,0.089,1.6,0.223,GOOD,True,True,True,True,True
G74,GOOD,left,0.436,0.192,0.093,0.37,0.327,BAD,True,False,True,False,True
G75,GOOD,left,0.459,0.213,0.099,2.1,0.256,GOOD,True,True,True,True,True
G76,GOOD,right,0.477,0.179,0.102,1.47,0.326,GOOD,True,True,True,True,True
G77,GOOD,right,0.477,0.209,0.059,0.73,0.18,GOOD,True,True,True,True,True
G78,GOOD,right,0.456,0.243,0.06,0.6,0.378,BAD,True,True,True,True,False
G79,GOOD,right,0.46,0.165,0.087,0.43,0.625,BAD,True,True,True,False,False
G80,GOOD,left,0.433,0.193,0.045,0.6,0.284,BAD,True,False,True,True,True
G81,GOOD,right,0.444,0.167,0.007,0.2,0.198,BAD,True,True,True,False,True
G82,GOOD,left,0.433,0.21,0.096,7.5,0.4,BAD,True,False,True,False,False
W01,BAD,right,0.433,0.314,0.121,1.7,0.01,BAD,False,False,False,True,True
W04,BAD,right,0.424,0.235,0.098,1.57,0.253,BAD,True,False,True,True,True
W05,BAD,right,0.422,0.183,0.096,0.7,0.06,BAD,True,False,True,True,True
W06,BAD,right,0.417,0.238,0.076,0.57,0.488,BAD,True,False,True,False,False
W07,BAD,left,0.48,0.271,0.059,0.47,0.194,BAD,False,True,True,False,True
W08,BAD,right,0.497,0.171,0.142,3.4,0.474,BAD,True,True,False,True,False
W09,BAD,left,0.445,0.202,0.031,5.13,0.252,BAD,True,True,True,False,True
W10,BAD,left,0.441,0.154,0.008,0.8,0.151,GOOD,True,True,True,True,True
W11,BAD,left,0.437,0.189,0.087,1.0,0.285,GOOD,True,True,True,True,True
W12,BAD,right,0.455,0.247,0.084,0.53,0.189,BAD,True,True,True,False,True
W13,BAD,right,0.492,0.157,0.076,0.47,0.14,BAD,True,True,True,False,True
W14,BAD,right,0.505,0.194,0.096,0.53,0.295,BAD,True,True,True,False,True
