clip,score_rescaled,good_probability
A100_kinect,3.345135,0.9775
A100_kinect_mirror,3.345135,0.9775
A100_kinect_rotate_pos,3.345135,0.9775
A100_kinect_rotate_neg,3.345135,0.9775
A100_kinect_stretch,3.345135,0.9775
A101_kinect,2.899901,0.9666
A101_kinect_mirror,2.899901,0.9666
A101_kinect_rotate_pos,2.899901,0.9666
A101_kinect_rotate_neg,2.899901,0.9666
A101_kinect_stretch,2.899901,0.9666
A102_kinect,2.994174,0.9711
A102_kinect_mirror,2.994174,0.9711
A102_kinect_rotate_pos,2.994174,0.9711
A102_kinect_rotate_neg,2.994174,0.9711
A102_kinect_stretch,2.994174,0.9711
A103_kinect,3.505554,0.9688
A103_kinect_mirror,3.505554,0.9688
A103_kinect_rotate_pos,3.505554,0.9688
A103_kinect_rotate_neg,3.505554,0.9688
A103_kinect_stretch,3.505554,0.9688
A104_kinect,2.871815,0.9672
A104_kinect_mirror,2.871815,0.9672
A104_kinect_rotate_pos,2.871815,0.9672
A104_kinect_rotate_neg,2.871815,0.9672
A104_kinect_stretch,2.871815,0.9672
A105_kinect,3.215507,0.9779
A105_kinect_mirror,3.215507,0.9779
A105_kinect_rotate_pos,3.215507,0.9779
A105_kinect_rotate_neg,3.215507,0.9779
A105_kinect_stretch,3.215507,0.9779
A106_kinect,2.384062,0.9236
A106_kinect_mirror,2.384062,0.9236
A106_kinect_rotate_pos,2.384062,0.9236
A106_kinect_rotate_neg,2.384062,0.9236
A106_kinect_stretch,2.384062,0.9236
A109_kinect,2.313876,0.713
A109_kinect_mirror,2.313876,0.713
A109_kinect_rotate_pos,2.313876,0.713
A109_kinect_rotate_neg,2.313876,0.713
A109_kinect_stretch,2.313876,0.713
A10_kinect,0.781042,0.9549
A10_kinect_mirror,0.781042,0.9549
A10_kinect_rotate_pos,0.781042,0.9549
A10_kinect_rotate_neg,0.781042,0.9549
A10_kinect_stretch,0.781042,0.9549
A110_kinect,2.926663,0.9427
A110_kinect_mirror,2.926663,0.9427
A110_kinect_rotate_pos,2.926663,0.9427
A110_kinect_rotate_neg,2.926663,0.9427
A110_kinect_stretch,2.926663,0.9427
A112_kinect,2.811066,0.9015
A112_kinect_mirror,2.811066,0.9015
A112_kinect_rotate_pos,2.811066,0.9015
A112_kinect_rotate_neg,2.811066,0.9015
A112_kinect_stretch,2.811066,0.9015
A115_kinect,2.9821,0.926
A115_kinect_mirror,2.9821,0.926
A115_kinect_rotate_pos,2.9821,0.926
A115_kinect_rotate_neg,2.9821,0.926
A115_kinect_stretch,2.9821,0.926
A116_kinect,3.531549,0.9732
A116_kinect_mirror,3.531549,0.9732
A116_kinect_rotate_pos,3.531549,0.9732
A116_kinect_rotate_neg,3.531549,0.9732
A116_kinect_stretch,3.531549,0.9732
A117_kinect,3.210071,0.84
A117_kinect_mirror,3.210071,0.84
A117_kinect_rotate_pos,3.210071,0.84
A117_kinect_rotate_neg,3.210071,0.84
A117_kinect_stretch,3.210071,0.84
A118_kinect,2.142624,0.9512
A118_kinect_mirror,2.142624,0.9512
A118_kinect_rotate_pos,2.142624,0.9512
A118_kinect_rotate_neg,2.142624,0.9512
A118_kinect_stretch,2.142624,0.9512
A119_kinect,1.923032,0.9529
A119_kinect_mirror,1.923032,0.9529
A119_kinect_rotate_pos,1.923032,0.9529
A119_kinect_rotate_neg,1.923032,0.9529
A119_kinect_stretch,1.923032,0.9529
A11_kinect,1.138445,0.9679
A11_kinect_mirror,1.138445,0.9679
A11_kinect_rotate_pos,1.138445,0.9679
A11_kinect_rotate_neg,1.138445,0.9679
A11_kinect_stretch,1.138445,0.9679
A120_kinect,2.240992,0.9282
A120_kinect_mirror,2.240992,0.9282
A120_kinect_rotate_pos,2.240992,0.9282
A120_kinect_rotate_neg,2.240992,0.9282
A120_kinect_stretch,2.240992,0.9282
