FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
154,-0.03642,0.14472,0.010953,-0.1412,-0.027025,0.013792,-0.16528,0.24916,-0.086339,0.11442,0.005485,0.01126,0.16116,0.2705,-0.077867,-0.15705,0.49446,-0.14572,0.16375,0.50021,-0.13799,-0.089665,-0.49657,0.092182,0.060528,-0.49474,0.10347,-0.12072,-0.45794,-0.26752,0.13861,-0.44344,-0.24826,-0.14668,-0.7851,-0.15502,0.10318,-0.80168,-0.094105
155,-0.039024,0.13895,0.011108,-0.14131,-0.03513,0.01397,-0.16474,0.24117,-0.085302,0.11446,-0.006436,0.012169,0.16062,0.25953,-0.077172,-0.15711,0.48568,-0.14486,0.16354,0.48964,-0.13677,-0.088405,-0.50472,0.091209,0.062415,-0.50423,0.10163,-0.12045,-0.456,-0.26711,0.13826,-0.44099,-0.24835,-0.14666,-0.78526,-0.15532,0.10335,-0.80494,-0.096796
156,-0.041598,0.13332,0.010891,-0.14156,-0.044013,0.01438,-0.16438,0.23242,-0.084862,0.1144,-0.018702,0.013171,0.15994,0.24539,-0.075646,-0.15699,0.47673,-0.14373,0.16345,0.47891,-0.13544,-0.087178,-0.51254,0.090318,0.064255,-0.51342,0.099881,-0.12006,-0.45427,-0.26662,0.13794,-0.43852,-0.24838,-0.14536,-0.78368,-0.15554,0.10369,-0.80816,-0.099148
157,-0.044181,0.12776,0.010663,-0.14184,-0.052884,0.014787,-0.16416,0.22373,-0.084261,0.11398,-0.030917,0.01451,0.15934,0.23134,-0.074095,-0.15644,0.4679,-0.1426,0.16366,0.46487,-0.13391,-0.085975,-0.51991,0.089533,0.066003,-0.5224,0.098232,-0.11959,-0.45163,-0.26611,0.13761,-0.43591,-0.2484,-0.14409,-0.7821,-0.15565,0.10322,-0.80816,-0.095783
158,-0.04612,0.12307,0.010569,-0.14213,-0.06143,0.015167,-0.164,0.21563,-0.083338,0.11356,-0.043055,0.015868,0.15911,0.21732,-0.071976,-0.15605,0.46255,-0.14214,0.16377,0.45076,-0.13207,-0.084948,-0.52672,0.088846,0.067827,-0.53058,0.096634,-0.1192,-0.4486,-0.2654,0.13732,-0.4331,-0.24823,-0.14298,-0.78054,-0.1555,0.10252,-0.80816,-0.091889
159,-0.047838,0.11954,0.010631,-0.14238,-0.069523,0.015557,-0.16398,0.20735,-0.082773,0.11312,-0.055101,0.017243,0.15889,0.20329,-0.069841,-0.15587,0.45719,-0.14202,0.16393,0.43664,-0.13019,-0.083922,-0.53276,0.088317,0.06962,-0.53797,0.095101,-0.1189,-0.44563,-0.26456,0.13702,-0.43015,-0.24794,-0.14203,-0.77906,-0.1553,0.10181,-0.80816,-0.087904
160,-0.04891,0.11678,0.010731,-0.14244,-0.077009,0.015992,-0.16401,0.1995,-0.082324,0.11236,-0.066903,0.018864,0.1588,0.19401,-0.068562,-0.15583,0.45246,-0.14202,0.16338,0.43014,-0.12931,-0.082998,-0.53814,0.087838,0.071324,-0.54468,0.093588,-0.11861,-0.44442,-0.26389,0.13668,-0.42683,-0.24749,-0.14134,-0.77892,-0.15521,0.10116,-0.80661,-0.083897
161,-0.049513,0.11482,0.010859,-0.14254,-0.082032,0.016568,-0.16403,0.194,-0.081981,0.11233,-0.067821,0.018914,0.15876,0.18977,-0.067985,-0.15583,0.44938,-0.14202,0.16388,0.41823,-0.1278,-0.082155,-0.54147,0.087443,0.072739,-0.54663,0.092013,-0.11864,-0.44324,-0.2632,0.13637,-0.42377,-0.24695,-0.14094,-0.77892,-0.15518,0.10133,-0.80282,-0.077206
162,-0.049977,0.11251,0.010946,-0.14279,-0.086738,0.017093,-0.16405,0.18901,-0.081706,0.11231,-0.068642,0.018974,0.15872,0.18566,-0.067432,-0.15582,0.44647,-0.14206,0.16464,0.40638,-0.1268,-0.081393,-0.54488,0.087178,0.074098,-0.54865,0.090461,-0.11869,-0.44248,-0.2625,0.13623,-0.4214,-0.24675,-0.14065,-0.77892,-0.15515,0.1012,-0.79899,-0.070607
163,-0.049978,0.11115,0.010968,-0.14287,-0.088445,0.017363,-0.16403,0.18703,-0.081616,0.11228,-0.068642,0.019046,0.15869,0.18242,-0.066891,-0.15583,0.4443,-0.14212,0.16529,0.3968,-0.12584,-0.081089,-0.54629,0.087198,0.07442,-0.54948,0.090097,-0.11873,-0.4421,-0.26191,0.13607,-0.42073,-0.24652,-0.14073,-0.77902,-0.15399,0.1032,-0.79535,-0.071595
164,-0.049979,0.11017,0.010982,-0.14293,-0.090065,0.017617,-0.16412,0.18532,-0.081511,0.11228,-0.068642,0.01912,0.15937,0.17931,-0.066306,-0.15581,0.44209,-0.14235,0.16589,0.39232,-0.1249,-0.080803,-0.54755,0.087217,0.074742,-0.55015,0.089826,-0.11877,-0.44195,-0.26125,0.13593,-0.42003,-0.24653,-0.1408,-0.77889,-0.1528,0.10444,-0.79148,-0.072295
165,-0.049979,0.10916,0.010982,-0.14295,-0.090692,0.017751,-0.16422,0.18447,-0.081424,0.11227,-0.068642,0.019209,0.15945,0.17931,-0.066086,-0.15589,0.44028,-0.14292,0.16594,0.38919,-0.12441,-0.080576,-0.54881,0.087232,0.074997,-0.55087,0.089608,-0.11891,-0.44184,-0.26049,0.13581,-0.4193,-0.24628,-0.14088,-0.77889,-0.15158,0.10444,-0.78678,-0.072297
166,-0.049431,0.10816,0.010906,-0.14299,-0.091272,0.017893,-0.16472,0.18363,-0.081798,0.1122,-0.068507,0.019328,0.15954,0.17931,-0.065874,-0.15608,0.43828,-0.14366,0.16584,0.38919,-0.12442,-0.080433,-0.55012,0.087421,0.075215,-0.55157,0.089391,-0.11915,-0.44164,-0.2597,0.13579,-0.41837,-0.24599,-0.14102,-0.77881,-0.15078,0.10444,-0.78303,-0.072311
167,-0.048665,0.10716,0.010832,-0.14302,-0.091286,0.01801,-0.16512,0.18337,-0.082063,0.11211,-0.068262,0.019469,0.15965,0.17931,-0.065685,-0.15648,0.43663,-0.14443,0.16584,0.3866,-0.12477,-0.080425,-0.55118,0.087717,0.075226,-0.5522,0.089234,-0.11944,-0.44147,-0.25886,0.1358,-0.41762,-0.24563,-0.14126,-0.77881,-0.15038,0.10633,-0.78306,-0.078869
168,-0.047746,0.10601,0.010892,-0.1431,-0.091286,0.018141,-0.16523,0.18337,-0.08229,0.11202,-0.068028,0.019614,0.15977,0.17959,-0.065497,-0.15699,0.43523,-0.14532,0.16584,0.3866,-0.12477,-0.080325,-0.55207,0.088093,0.07523,-0.55282,0.08917,-0.11975,-0.44137,-0.25805,0.13579,-0.41699,-0.24523,-0.14153,-0.77881,-0.15009,0.10458,-0.78269,-0.074485
169,-0.04705,0.1049,0.010938,-0.14317,-0.091286,0.018277,-0.16524,0.18337,-0.082082,0.11192,-0.067762,0.019764,0.15992,0.17983,-0.065371,-0.15776,0.43479,-0.1463,0.16512,0.38943,-0.12481,-0.080207,-0.55279,0.088489,0.07523,-0.55328,0.08917,-0.12008,-0.44111,-0.25717,0.13576,-0.41649,-0.24481,-0.14192,-0.7787,-0.14988,0.10285,-0.78269,-0.070143
170,-0.046724,0.10407,0.010959,-0.14314,-0.091279,0.018363,-0.16523,0.18423,-0.082334,0.11183,-0.067507,0.0199,0.16007,0.18007,-0.06529,-0.15822,0.43479,-0.14707,0.16475,0.39215,-0.12487,-0.080232,-0.55279,0.088875,0.075182,-0.55334,0.089167,-0.12018,-0.44067,-0.2565,0.13574,-0.4163,-0.24442,-0.14222,-0.77824,-0.1499,0.1026,-0.78269,-0.07016
171,-0.04585,0.10399,0.011129,-0.14309,-0.091128,0.018431,-0.16523,0.18426,-0.082544,0.11175,-0.067256,0.020016,0.16026,0.18036,-0.065197,-0.15834,0.43479,-0.14752,0.16449,0.39475,-0.12514,-0.080254,-0.55279,0.089211,0.075085,-0.55334,0.089161,-0.12028,-0.44096,-0.2565,0.13579,-0.4163,-0.24402,-0.14247,-0.77867,-0.14965,0.10002,-0.78269,-0.070328
172,-0.044933,0.10399,0.011467,-0.14301,-0.090964,0.018436,-0.16526,0.18506,-0.082759,0.1117,-0.066945,0.020145,0.16049,0.18075,-0.065084,-0.15836,0.43479,-0.14786,0.16451,0.39773,-0.12542,-0.080276,-0.55279,0.089552,0.074969,-0.55334,0.089179,-0.1203,-0.44116,-0.2565,0.13587,-0.4163,-0.24374,-0.14272,-0.779,-0.14944,0.099995,-0.78644,-0.0724
173,-0.043884,0.10399,0.012017,-0.14297,-0.089859,0.018481,-0.1652,0.18662,-0.082989,0.11164,-0.066545,0.02026,0.16078,0.18118,-0.064946,-0.15832,0.43573,-0.14843,0.16454,0.40113,-0.1259,-0.080472,-0.55271,0.089979,0.074577,-0.55334,0.089423,-0.12035,-0.44133,-0.25651,0.13592,-0.4163,-0.24348,-0.14294,-0.77926,-0.14922,0.097958,-0.79075,-0.074646
