FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
69,0.039108,0.51429,-0.040885,0.14513,0.38173,-0.037886,0.21533,0.63986,-0.075604,-0.12347,0.35362,-0.061928,-0.21559,0.56828,-0.098067,0.22315,0.85628,-0.065153,-0.2343,0.80881,-0.093206,0.071038,-0.063358,0.043321,-0.056695,-0.061085,0.03389,0.21273,-0.34402,-0.12282,-0.20934,-0.34817,-0.12389,0.23569,-0.70079,-0.1015,-0.23367,-0.70224,-0.099539
70,0.039344,0.4815,-0.043637,0.14314,0.34272,-0.043837,0.21414,0.60301,-0.083775,-0.12021,0.32957,-0.065306,-0.21732,0.53596,-0.10504,0.22248,0.8191,-0.078231,-0.23481,0.78129,-0.10262,0.071621,-0.097112,0.052108,-0.055861,-0.093714,0.043694,0.21857,-0.35079,-0.13018,-0.21353,-0.35551,-0.13126,0.23661,-0.70382,-0.10371,-0.23401,-0.70618,-0.10101
71,0.036671,0.44958,-0.046465,0.14182,0.30379,-0.049775,0.21424,0.56593,-0.093172,-0.11645,0.30514,-0.068822,-0.21878,0.50672,-0.11115,0.22261,0.78246,-0.089779,-0.23595,0.75579,-0.11194,0.072319,-0.13008,0.060434,-0.055254,-0.12483,0.052995,0.22431,-0.35739,-0.13801,-0.21753,-0.36266,-0.13817,0.23731,-0.70849,-0.10552,-0.234,-0.71098,-0.10156
72,0.033415,0.41243,-0.04868,0.1405,0.26148,-0.055008,0.21464,0.53136,-0.10001,-0.11245,0.27509,-0.071876,-0.21858,0.47367,-0.1177,0.22266,0.75364,-0.098751,-0.23585,0.72534,-0.12081,0.07261,-0.16499,0.068336,-0.054896,-0.15818,0.061841,0.23009,-0.36445,-0.14686,-0.22088,-0.36893,-0.14595,0.23752,-0.71495,-0.1061,-0.234,-0.71768,-0.10156
73,0.033446,0.37612,-0.05149,0.14039,0.22427,-0.060357,0.21559,0.49912,-0.10691,-0.10813,0.24481,-0.075724,-0.21827,0.43739,-0.12411,0.22276,0.7254,-0.1079,-0.23575,0.68739,-0.12981,0.072896,-0.1986,0.075851,-0.054156,-0.19138,0.06998,0.23571,-0.37198,-0.15588,-0.22418,-0.37581,-0.15426,0.23752,-0.72216,-0.1061,-0.234,-0.72514,-0.10156
74,0.033571,0.34047,-0.054635,0.14044,0.18626,-0.064636,0.21516,0.45984,-0.11443,-0.10296,0.21418,-0.079958,-0.21788,0.40194,-0.13018,0.2226,0.68669,-0.1196,-0.23565,0.65064,-0.13883,0.073191,-0.23306,0.083315,-0.053392,-0.22518,0.078057,0.24167,-0.38043,-0.16544,-0.22732,-0.38298,-0.16294,0.23752,-0.72964,-0.1061,-0.23363,-0.73513,-0.10156
75,0.031532,0.30728,-0.058405,0.14176,0.15204,-0.069067,0.21739,0.42246,-0.12182,-0.0973,0.18538,-0.084306,-0.22002,0.36994,-0.13489,0.22326,0.64954,-0.13047,-0.237,0.61342,-0.14752,0.073745,-0.26397,0.088744,-0.052462,-0.25441,0.085102,0.24716,-0.38869,-0.17467,-0.23004,-0.39024,-0.17167,0.23752,-0.73875,-0.1061,-0.23298,-0.74433,-0.10144
76,0.029347,0.27308,-0.062157,0.14223,0.11585,-0.073136,0.21921,0.38455,-0.12854,-0.090875,0.1564,-0.088747,-0.22192,0.33893,-0.139,0.224,0.61172,-0.14047,-0.23869,0.57677,-0.15591,0.074061,-0.2969,0.091331,-0.051097,-0.28638,0.089647,0.25255,-0.3975,-0.18383,-0.23226,-0.39811,-0.18087,0.23728,-0.74792,-0.10542,-0.2318,-0.75311,-0.10052
77,0.02801,0.24744,-0.065769,0.14226,0.089341,-0.075555,0.22139,0.35358,-0.13473,-0.090217,0.13265,-0.090699,-0.2198,0.31329,-0.14284,0.22515,0.58082,-0.1501,-0.23894,0.55362,-0.16137,0.074485,-0.32563,0.091507,-0.049878,-0.31402,0.090608,0.25645,-0.40696,-0.1901,-0.23295,-0.40599,-0.18816,0.23663,-0.75657,-0.10431,-0.2304,-0.75969,-0.1001
78,0.026445,0.22243,-0.068553,0.1428,0.0637,-0.077905,0.22512,0.32503,-0.14147,-0.090136,0.10811,-0.092468,-0.22035,0.28215,-0.14698,0.22667,0.55238,-0.16005,-0.23942,0.52939,-0.16842,0.07559,-0.35504,0.091519,-0.048059,-0.34253,0.091282,0.26026,-0.41651,-0.19586,-0.23288,-0.41463,-0.19462,0.23574,-0.76584,-0.10276,-0.22893,-0.76707,-0.099265
79,0.025345,0.19322,-0.071284,0.14354,0.039923,-0.079707,0.2292,0.29344,-0.14896,-0.090121,0.079758,-0.093811,-0.22075,0.25085,-0.15138,0.22912,0.52132,-0.16906,-0.24009,0.5011,-0.17497,0.076459,-0.38055,0.091529,-0.047097,-0.36861,0.091293,0.26305,-0.42474,-0.19958,-0.23282,-0.42333,-0.20055,0.23404,-0.7805,-0.10118,-0.2276,-0.77461,-0.099061
80,0.025293,0.16315,-0.074373,0.14572,0.014348,-0.081244,0.23297,0.26169,-0.1548,-0.090556,0.045029,-0.094794,-0.2208,0.22091,-0.15565,0.23246,0.48969,-0.17866,-0.24148,0.4727,-0.18131,0.077647,-0.40696,0.090348,-0.045895,-0.39737,0.091306,0.26544,-0.43221,-0.20175,-0.23276,-0.43172,-0.2053,0.23226,-0.7937,-0.099564,-0.22634,-0.7823,-0.098475
81,0.024483,0.14336,-0.077034,0.14806,-0.003781,-0.082221,0.23568,0.23616,-0.16099,-0.091676,0.022162,-0.095494,-0.2212,0.19555,-0.15938,0.23655,0.45946,-0.18866,-0.24292,0.44746,-0.1876,0.079027,-0.42842,0.089299,-0.044493,-0.41977,0.091322,0.26696,-0.43835,-0.20189,-0.23247,-0.43882,-0.20822,0.23107,-0.80045,-0.097927,-0.2253,-0.79044,-0.097668
82,0.023828,0.12337,-0.078136,0.14976,-0.02263,-0.082372,0.23973,0.20879,-0.16724,-0.092986,0.000274,-0.095509,-0.22153,0.17252,-0.16305,0.24072,0.42997,-0.19864,-0.24434,0.42429,-0.19361,0.08051,-0.44947,0.088365,-0.043518,-0.44163,0.089693,0.26696,-0.44434,-0.20189,-0.23167,-0.44542,-0.20987,0.22915,-0.81227,-0.097949,-0.22393,-0.80103,-0.096805
83,0.023802,0.097448,-0.078851,0.15106,-0.045346,-0.082385,0.2434,0.1881,-0.1721,-0.097416,-0.025523,-0.094246,-0.2219,0.14748,-0.16656,0.24535,0.41037,-0.20635,-0.24538,0.40132,-0.1992,0.081967,-0.47327,0.087505,-0.042626,-0.46624,0.088311,0.26696,-0.45094,-0.20189,-0.23001,-0.45173,-0.21086,0.22725,-0.82428,-0.09797,-0.22261,-0.80958,-0.095859
84,0.023707,0.075079,-0.07916,0.15228,-0.065644,-0.082372,0.24593,0.16618,-0.17645,-0.097615,-0.051607,-0.094248,-0.22262,0.12215,-0.16975,0.25112,0.38805,-0.21311,-0.24659,0.3792,-0.2048,0.08345,-0.4951,0.086344,-0.041906,-0.49012,0.086889,0.26696,-0.45773,-0.20189,-0.22748,-0.45796,-0.21166,0.2255,-0.83552,-0.098014,-0.22162,-0.81381,-0.094349
85,0.023655,0.051656,-0.079161,0.15321,-0.090034,-0.082362,0.24871,0.1377,-0.18017,-0.099175,-0.078243,-0.094079,-0.22306,0.09339,-0.1724,0.25716,0.36359,-0.21898,-0.24847,0.35764,-0.20996,0.08464,-0.51955,0.084883,-0.041417,-0.51523,0.085112,0.26683,-0.46524,-0.19983,-0.22434,-0.46336,-0.21163,0.22222,-0.85102,-0.10389,-0.22046,-0.81786,-0.092463
86,0.023551,0.030885,-0.079162,0.15373,-0.1131,-0.082356,0.25145,0.11212,-0.18259,-0.10193,-0.10403,-0.09294,-0.22416,0.066979,-0.17468,0.26277,0.34315,-0.22257,-0.25066,0.33652,-0.21453,0.086,-0.54211,0.08333,-0.040654,-0.53874,0.083308,0.26615,-0.47221,-0.19707,-0.22096,-0.46819,-0.21203,0.22021,-0.8644,-0.10354,-0.21987,-0.82047,-0.090344
87,0.024315,0.011427,-0.078741,0.15397,-0.13533,-0.082098,0.2532,0.087043,-0.18331,-0.10574,-0.12936,-0.091171,-0.22852,0.046588,-0.17624,0.26836,0.32353,-0.22542,-0.2541,0.31582,-0.21709,0.087627,-0.56353,0.082138,-0.039834,-0.56145,0.081698,0.26464,-0.47965,-0.19368,-0.21754,-0.47236,-0.21221,0.21652,-0.87764,-0.10816,-0.21887,-0.82708,-0.088203
88,0.024778,-0.00298,-0.078518,0.15401,-0.15453,-0.081664,0.25465,0.067608,-0.1833,-0.11021,-0.14975,-0.088895,-0.23044,0.027375,-0.17649,0.27355,0.31021,-0.22741,-0.25624,0.29755,-0.2193,0.089011,-0.58189,0.081012,-0.039011,-0.58045,0.08014,0.26272,-0.48664,-0.19,-0.2138,-0.47608,-0.21217,0.21454,-0.89068,-0.11089,-0.21742,-0.83457,-0.088187
