clip,status,n_frames_input,n_frames_cut,start_frame,stop_frame,cut_path
A100_kinect,ok,163,163,3,165,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A100_kinect.csv
A101_kinect,ok,229,229,2,230,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A101_kinect.csv
A102_kinect,ok,206,206,5,210,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A102_kinect.csv
A103_kinect,ok,168,168,54,221,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A103_kinect.csv
A104_kinect,ok,153,153,2,154,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A104_kinect.csv
A105_kinect,ok,146,146,1,146,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A105_kinect.csv
A106_kinect,ok,159,159,6,164,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A106_kinect.csv
A108_kinect,too_short_3_frames,154,3,281,283,
A109_kinect,ok,100,100,73,172,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A109_kinect.csv
A10_kinect,ok,161,161,42,202,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A10_kinect.csv
A110_kinect,ok,113,113,91,203,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A110_kinect.csv
A111_kinect,too_short_2_frames,200,2,2,3,
A112_kinect,ok,63,63,84,146,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A112_kinect.csv
A115_kinect,ok,104,104,65,168,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A115_kinect.csv
A116_kinect,ok,214,173,0,172,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A116_kinect.csv
A117_kinect,ok,216,216,0,215,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A117_kinect.csv
A118_kinect,ok,130,130,0,129,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A118_kinect.csv
A119_kinect,ok,167,167,0,166,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A119_kinect.csv
A11_kinect,ok,218,40,154,193,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A11_kinect.csv
A120_kinect,ok,146,146,23,168,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A120_kinect.csv
A121_kinect,ok,219,219,0,218,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A121_kinect.csv
A122_kinect,too_short_2_frames,150,2,174,175,
A123_kinect,too_short_4_frames,163,4,1,4,
A124_kinect,ok,144,144,16,159,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A124_kinect.csv
A125_kinect,too_short_2_frames,144,2,6,7,
A126_kinect,ok,117,117,144,260,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A126_kinect.csv
A127_kinect,ok,145,145,20,164,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A127_kinect.csv
A128_kinect,ok,141,141,0,140,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A128_kinect.csv
A129_kinect,ok,107,107,59,165,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A129_kinect.csv
A12_kinect,too_short_2_frames,167,2,134,135,
A130_kinect,ok,236,235,2,236,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A130_kinect.csv
A131_kinect,ok,130,130,0,129,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A131_kinect.csv
A132_kinect,ok,113,113,33,145,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A132_kinect.csv
A133_kinect,ok,176,176,0,175,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A133_kinect.csv
A134_kinect,ok,116,116,0,115,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A134_kinect.csv
A135_kinect,ok,113,113,13,125,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A135_kinect.csv
A136_kinect,ok,71,71,34,104,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A136_kinect.csv
A137_kinect,ok,108,108,70,177,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A137_kinect.csv
A138_kinect,ok,218,218,69,286,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A138_kinect.csv
A139_kinect,ok,132,132,69,200,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A139_kinect.csv
A13_kinect,ok,165,165,14,178,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A13_kinect.csv
A140_kinect,ok,106,106,6,111,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A140_kinect.csv
A141_kinect,too_short_2_frames,123,2,87,88,
A142_kinect,ok,97,97,24,120,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A142_kinect.csv
A143_kinect,ok,97,97,23,119,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A143_kinect.csv
A144_kinect,ok,87,87,46,132,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A144_kinect.csv
A145_kinect,ok,94,94,42,135,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A145_kinect.csv
A146_kinect,ok,90,90,66,155,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A146_kinect.csv
A147_kinect,ok,94,94,30,123,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A147_kinect.csv
A148_kinect,ok,97,97,23,119,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A148_kinect.csv
A149_kinect,ok,114,114,13,126,/home/cyclonaut/Dokumente/Studium Växjö/data intensive project/end_epril_repo/Data-intensive-systems/A15/a15_cut/A149_kinect.csv
