clip,score,good_probability,predicted_label
A100_kinect,1.26214956596479,0.9775,GOOD
A101_kinect,1.21233630739917,0.9666,GOOD
A102_kinect,1.2228836989141,0.9711,GOOD
A103_kinect,1.28009731171344,0.9688,GOOD
A104_kinect,1.20919411300834,0.9672,GOOD
A105_kinect,1.24764660329858,0.9779,GOOD
A106_kinect,1.15462381743598,0.9236,GOOD
A108_kinect,1.11482812050016,0.7561,GOOD
A109_kinect,1.14677139787003,0.713,GOOD
A10_kinect,0.975276539149844,0.9549,GOOD
A110_kinect,1.2153305270084,0.9427,GOOD
A111_kinect,1.22031976547324,0.8956,GOOD
A112_kinect,1.20239741129197,0.9015,GOOD
A115_kinect,1.22153287448114,0.926,GOOD
A116_kinect,1.28300570450227,0.9732,GOOD
A117_kinect,1.24703849938649,0.84,GOOD
A118_kinect,1.12761154180385,0.9512,GOOD
A119_kinect,1.10304333419356,0.9529,GOOD
A11_kinect,1.01526310519752,0.9679,GOOD
A120_kinect,1.13861699608907,0.9282,GOOD
A121_kinect,1.25919020546493,0.8986,GOOD
A122_kinect,1.23937523593557,0.5701,GOOD
A123_kinect,1.0799075141365,0.9197,GOOD
A124_kinect,1.14015571996221,0.9665,GOOD
A125_kinect,1.12902924052152,0.6073,GOOD
A126_kinect,1.03905266137612,0.9792,GOOD
A127_kinect,1.0637779315617,0.9752,GOOD
A128_kinect,1.01159025468712,0.9701,GOOD
A129_kinect,1.01096819623432,0.9754,GOOD
A12_kinect,1.05718606815369,0.9618,GOOD
A130_kinect,1.05757749814846,0.9719,GOOD
A131_kinect,1.05743835967964,0.9667,GOOD
A132_kinect,1.02793615826065,0.9693,GOOD
A133_kinect,1.08449030726606,0.9706,GOOD
A134_kinect,1.05467502507231,0.9687,GOOD
A135_kinect,1.09969727104324,0.9692,GOOD
A136_kinect,1.06145069396885,0.9654,GOOD
A137_kinect,0.98498467390623,0.9674,GOOD
A138_kinect,1.01064167363625,0.9642,GOOD
A139_kinect,0.972154347852744,0.9669,GOOD
A13_kinect,0.997632689139213,0.9156,GOOD
A140_kinect,1.04675532267398,0.9159,GOOD
A141_kinect,1.03675498599063,0.9544,GOOD
A142_kinect,1.00623943800816,0.9389,GOOD
A143_kinect,0.999691838981962,0.9152,GOOD
A144_kinect,1.01910576292036,0.9192,GOOD
A145_kinect,1.11734384651164,0.9231,GOOD
A146_kinect,1.02825510815072,0.9082,GOOD
A147_kinect,1.02663202129067,0.9376,GOOD
A148_kinect,1.03974721127719,0.8991,GOOD
A149_kinect,1.23209876240003,0.92,GOOD
A14_kinect,1.09070923466232,0.9191,GOOD
A150_kinect,1.1837403660107,0.9758,GOOD
A151_kinect,1.08341598636559,0.9573,GOOD
A152_kinect,1.13612525139299,0.899,GOOD
A153_kinect,1.1773346574869,0.7688,GOOD
A154_kinect,1.02640748607502,0.9566,GOOD
A155_kinect,1.05815489107363,0.7739,GOOD
A156_kinect,1.19478296601449,0.9666,GOOD
A157_kinect,1.08766398458754,0.9536,GOOD
A158_kinect,1.18310224577807,0.9527,GOOD
A159_kinect,1.1712889171117,0.9462,GOOD
A15_kinect,1.02693134040617,0.9334,GOOD
A16_kinect,0.969750161460107,0.9599,GOOD
A17_kinect,1.02748343342184,0.9496,GOOD
A18_kinect,0.969530145494754,0.9531,GOOD
A19_kinect,1.07668581808516,0.9634,GOOD
A1_kinect,0.0,0.9612,GOOD
A20_kinect,1.09499057630891,0.9589,GOOD
A21_kinect,1.0361350746691,0.93,GOOD
A22_kinect,0.960228246819561,0.9542,GOOD
A23_kinect,1.04609657343416,0.9625,GOOD
A24_kinect,0.887892851954438,0.959,GOOD
A25_kinect,0.997670144189849,0.9666,GOOD
A26_kinect,1.0342084062937,0.9453,GOOD
A27_kinect,1.0139163597475,0.9519,GOOD
A28_kinect,0.996225815193784,0.9729,GOOD
A29_kinect,1.04118598030664,0.9606,GOOD
A2_kinect,1.00326066398646,0.9579,GOOD
A30_kinect,0.941132912276324,0.9489,GOOD
A31_kinect,0.920852637424173,0.9546,GOOD
A32_kinect,1.03502599153664,0.9637,GOOD
A33_kinect,1.06855811511177,0.9658,GOOD
A34_kinect,1.06733903916769,0.9599,GOOD
A35_kinect,1.14166852505689,0.9725,GOOD
A36_kinect,1.06860201354032,0.9658,GOOD
A37_kinect,1.01682470846859,0.969,GOOD
A38_kinect,0.997076993462474,0.9152,GOOD
