clip,score_rescaled,good_probability
A100_kinect,3.345135,0.9775
A101_kinect,2.899901,0.9666
A102_kinect,2.994174,0.9711
A103_kinect,3.505554,0.9688
A104_kinect,2.871815,0.9672
A105_kinect,3.215507,0.9779
A106_kinect,2.384062,0.9236
A108_kinect,2.028365,0.7561
A109_kinect,2.313876,0.713
A10_kinect,0.781042,0.9549
A110_kinect,2.926663,0.9427
A111_kinect,2.971257,0.8956
A112_kinect,2.811066,0.9015
A115_kinect,2.9821,0.926
A116_kinect,3.531549,0.9732
A117_kinect,3.210071,0.84
A118_kinect,2.142624,0.9512
A119_kinect,1.923032,0.9529
A11_kinect,1.138445,0.9679
A120_kinect,2.240992,0.9282
A121_kinect,3.318684,0.8986
A122_kinect,3.141577,0.5701
A123_kinect,1.716242,0.9197
A124_kinect,2.254745,0.9665
A125_kinect,2.155296,0.6073
A126_kinect,1.351078,0.9792
A127_kinect,1.572074,0.9752
A128_kinect,1.105617,0.9701
A129_kinect,1.100057,0.9754
A12_kinect,1.513156,0.9618
A130_kinect,1.516654,0.9719
A131_kinect,1.515411,0.9667
A132_kinect,1.251718,0.9693
A133_kinect,1.757203,0.9706
A134_kinect,1.490712,0.9687
A135_kinect,1.893124,0.9692
A136_kinect,1.551273,0.9654
A137_kinect,0.867814,0.9674
A138_kinect,1.097138,0.9642
A139_kinect,0.753136,0.9669
A13_kinect,0.980863,0.9156
A140_kinect,1.419925,0.9159
A141_kinect,1.330541,0.9544
A142_kinect,1.057791,0.9389
A143_kinect,0.999268,0.9152
A144_kinect,1.172791,0.9192
A145_kinect,2.050851,0.9231
A146_kinect,1.254569,0.9082
A147_kinect,1.240061,0.9376
A148_kinect,1.357286,0.8991
A149_kinect,3.076539,0.92
A14_kinect,1.812788,0.9191
A150_kinect,2.644308,0.9758
A151_kinect,1.747601,0.9573
A152_kinect,2.21872,0.899
A153_kinect,2.587053,0.7688
A154_kinect,1.238054,0.9566
A155_kinect,1.521815,0.7739
A156_kinect,2.743007,0.9666
A157_kinect,1.78557,0.9536
A158_kinect,2.638604,0.9527
A159_kinect,2.533016,0.9462
A15_kinect,1.242737,0.9334
A16_kinect,0.731647,0.9599
A17_kinect,1.247671,0.9496
A18_kinect,0.72968,0.9531
A19_kinect,1.687446,0.9634
A20_kinect,1.851055,0.9589
A21_kinect,1.325,0.93
A22_kinect,0.646539,0.9542
A23_kinect,1.414037,0.9625
A24_kinect,0.0,0.959
A25_kinect,0.981198,0.9666
A26_kinect,1.30778,0.9453
A27_kinect,1.126408,0.9519
A28_kinect,0.968288,0.9729
A29_kinect,1.370146,0.9606
A2_kinect,1.031166,0.9579
A30_kinect,0.475864,0.9489
A31_kinect,0.294597,0.9546
A32_kinect,1.315087,0.9637
A33_kinect,1.6148,0.9658
A34_kinect,1.603904,0.9599
A35_kinect,2.268266,0.9725
A36_kinect,1.615192,0.9658
A37_kinect,1.152403,0.969
A38_kinect,0.975896,0.9152
