run,arch,optimizer,lr,batch,cv_mae,cv_std,test_mae,test_mse,corr,n_params
Dense_medium_rmsprop_lr0.001_bs8,Dense_medium,rmsprop,0.001,8,0.17867028568932555,0.01529392863717864,0.4350904098589761,0.3338162749835856,0.7168566910699684,25089
LSTM_medium_adam_lr0.001_bs8,LSTM_medium,adam,0.001,8,0.1800716594358689,0.01907819290805095,0.4805076428678716,0.4124168857722268,0.7258798100859596,27681
GRU_medium_adam_lr0.001_bs8,GRU_medium,adam,0.001,8,0.18263240969208713,0.008196262408457389,0.4978374472530364,0.4069309667568563,0.6983978761262384,21217
Dense_medium_rmsprop_lr0.001_bs16,Dense_medium,rmsprop,0.001,16,0.1877385429114006,0.018550727682078424,0.42501829051224843,0.33953634865447563,0.7370373436700469,25089
Dense_medium_adam_lr0.001_bs16,Dense_medium,adam,0.001,16,0.18988567024918745,0.001548777988492739,0.4961737122017996,0.41969392892013935,0.731547477636405,25089
Dense_medium_adam_lr0.001_bs8,Dense_medium,adam,0.001,8,0.19060111297218044,0.01560567318679147,0.4658023339707511,0.3775509658186632,0.6705145799092879,25089
Dense_medium_adam_lr0.0005_bs8,Dense_medium,adam,0.0005,8,0.19079687280255472,0.029916400935477372,0.3761711538455418,0.2352022066750933,0.8000819557382105,25089
Dense_medium_rmsprop_lr0.0005_bs8,Dense_medium,rmsprop,0.0005,8,0.20083483859942042,0.009282649201182965,0.4413911361852918,0.31739790576399757,0.7204620896049767,25089
LSTM_medium_rmsprop_lr0.001_bs8,LSTM_medium,rmsprop,0.001,8,0.20152651777800049,0.004763963073973094,0.4696366921086516,0.39474805179898986,0.7011867033316856,27681
GRU_medium_rmsprop_lr0.001_bs16,GRU_medium,rmsprop,0.001,16,0.20239707731713608,0.013629937002842233,0.4510719499625887,0.32731626310025036,0.7519712076931833,21217
GRU_medium_rmsprop_lr0.001_bs8,GRU_medium,rmsprop,0.001,8,0.20630214497045385,0.009780695700014809,0.44075304910801477,0.3310617033303087,0.7605136066868842,21217
GRU_medium_adam_lr0.001_bs16,GRU_medium,adam,0.001,16,0.2063551227056627,0.013487118326759714,0.494405919065203,0.3949171820533429,0.7198953513505101,21217
LSTM_medium_adam_lr0.001_bs16,LSTM_medium,adam,0.001,16,0.2079605364644723,0.014460704355983768,0.456883504573822,0.3987971082331363,0.7089352686114521,27681
GRU_medium_adam_lr0.0005_bs8,GRU_medium,adam,0.0005,8,0.21039528386056186,0.004901703627277558,0.4482039950861794,0.2881349385559845,0.780106240619348,21217
Dense_medium_rmsprop_lr0.0005_bs16,Dense_medium,rmsprop,0.0005,16,0.2111129631534634,0.015007425115871706,0.4921905490336826,0.40891206796966467,0.6633640800300157,25089
LSTM_medium_rmsprop_lr0.001_bs16,LSTM_medium,rmsprop,0.001,16,0.21137395496762798,0.010707092202506378,0.46608733073185515,0.4002934102535384,0.7051678882798852,27681
LSTM_medium_rmsprop_lr0.0005_bs8,LSTM_medium,rmsprop,0.0005,8,0.217335375455326,0.011669527571121326,0.4589455251426425,0.3448251500350271,0.7418823501546107,27681
Dense_medium_adam_lr0.0005_bs16,Dense_medium,adam,0.0005,16,0.21756713379551182,0.008133126107412092,0.46598718850228443,0.38463025350075686,0.751449832459239,25089
LSTM_medium_adam_lr0.0005_bs16,LSTM_medium,adam,0.0005,16,0.21862562539476812,0.010282812481596933,0.5099848002554483,0.42968556591673346,0.705365321939554,27681
LSTM_medium_adam_lr0.0005_bs8,LSTM_medium,adam,0.0005,8,0.23204322868509408,0.02518791873798407,0.47374836393838604,0.3986904886217605,0.729635290562879,27681
LSTM_medium_rmsprop_lr0.0005_bs16,LSTM_medium,rmsprop,0.0005,16,0.23517766923521133,0.020267075121995874,0.44964375989973887,0.34462169496354345,0.7326593774590189,27681
GRU_medium_adam_lr0.0005_bs16,GRU_medium,adam,0.0005,16,0.23567194684088325,0.0194789652592315,0.5086262896612166,0.41456995959644577,0.6875901471849727,21217
CNN_medium_adam_lr0.001_bs8,CNN_medium,adam,0.001,8,0.23723444295437923,0.010365907818715457,0.4783251710640498,0.32755894077115477,0.7722593550383435,4321
GRU_medium_rmsprop_lr0.0005_bs8,GRU_medium,rmsprop,0.0005,8,0.23941935354969715,0.002894718049385843,0.40105145198734826,0.28634726316363457,0.7678085757898963,21217
GRU_medium_rmsprop_lr0.0005_bs16,GRU_medium,rmsprop,0.0005,16,0.2465236894238624,0.018683170604196282,0.4230347317207064,0.2721733432506233,0.7808945943652076,21217
CNN_medium_rmsprop_lr0.001_bs8,CNN_medium,rmsprop,0.001,8,0.25199918095740403,0.010106387957420356,0.4463405985034942,0.3258374232173171,0.7173870954827496,4321
Dense_large_adam_lr0.001_bs8,Dense_large,adam,0.001,8,0.2538258124754538,0.02907010310737792,0.43742392549705506,0.2770107431366515,0.7555282593504543,58369
CNN_medium_adam_lr0.0005_bs8,CNN_medium,adam,0.0005,8,0.25481424120102786,0.007748835407335269,0.5277492756642477,0.412444919660116,0.7008204070743222,4321
CNN_medium_rmsprop_lr0.001_bs16,CNN_medium,rmsprop,0.001,16,0.25668880493108753,0.005031040637623877,0.523228017603302,0.44140205335544047,0.646463377257413,4321
CNN_medium_rmsprop_lr0.0005_bs8,CNN_medium,rmsprop,0.0005,8,0.2685415490695615,0.017443280567834944,0.46146210634514945,0.3354740710690343,0.7153146666917323,4321
CNN_medium_adam_lr0.0005_bs16,CNN_medium,adam,0.0005,16,0.2785586420020754,0.013256419952107077,0.47950867409575326,0.3673868333347743,0.6953515113472469,4321
CNN_medium_rmsprop_lr0.0005_bs16,CNN_medium,rmsprop,0.0005,16,0.2791581450204998,0.007236256831082151,0.4384497751406533,0.2913168907854327,0.6844588435787191,4321
Dense_large_rmsprop_lr0.001_bs8,Dense_large,rmsprop,0.001,8,0.28022082255159436,0.03004320028683914,0.5265716969017028,0.4214863557823573,0.6596226079809696,58369
CNN_medium_adam_lr0.001_bs16,CNN_medium,adam,0.001,16,0.2820429420055424,0.01594926177103665,0.5064092923989432,0.35869886040396165,0.6976602816117252,4321
Dense_large_adam_lr0.001_bs16,Dense_large,adam,0.001,16,0.30281243667522856,0.0374916758407071,0.4223720319159372,0.29176918907534777,0.7675867029252396,58369
Dense_large_adam_lr0.0005_bs16,Dense_large,adam,0.0005,16,0.321730621546243,0.007274738265215329,0.46684504484612604,0.35707777256124545,0.6666760166097051,58369
Dense_large_rmsprop_lr0.0005_bs8,Dense_large,rmsprop,0.0005,8,0.3263416762466717,0.02766273132206714,0.41900325738274713,0.26371439658727935,0.7461207601801227,58369
Dense_large_rmsprop_lr0.001_bs16,Dense_large,rmsprop,0.001,16,0.3272037176865324,0.029779367203374926,0.45033489762878415,0.31702474735447067,0.6820311525266298,58369
Dense_large_adam_lr0.0005_bs8,Dense_large,adam,0.0005,8,0.3575283280063643,0.05092991187954022,0.4301565907345907,0.3140201824279853,0.7243132861438427,58369
Dense_large_rmsprop_lr0.0005_bs16,Dense_large,rmsprop,0.0005,16,0.3805917744419858,0.009189916037306376,0.4720974719660077,0.36935708664679406,0.7135904697899167,58369
