FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.495505,0.378421,0.539002,0.419764,0.552944,0.476705,0.465491,0.416077,0.447156,0.475464,0.546444,0.538448,0.451181,0.540826,0.513956,0.530988,0.46749,0.531404,0.535695,0.626327,0.452297,0.630885,0.553697,0.736248,0.431461,0.738081
1,0.495537,0.378551,0.537712,0.42018,0.551075,0.479358,0.464802,0.41567,0.446941,0.476864,0.544667,0.539414,0.450748,0.540111,0.510791,0.532802,0.465879,0.533166,0.534012,0.626636,0.449285,0.631797,0.551439,0.736899,0.432163,0.736689
2,0.498985,0.37906,0.537065,0.42058,0.550902,0.480291,0.465597,0.41667,0.446682,0.478914,0.544625,0.539874,0.451359,0.540808,0.509955,0.533385,0.465395,0.533945,0.534793,0.629741,0.44869,0.635819,0.553427,0.736668,0.431829,0.738356
3,0.496253,0.379127,0.537482,0.421226,0.551346,0.480785,0.465359,0.417036,0.447601,0.477967,0.544311,0.539513,0.451209,0.540618,0.510795,0.533833,0.466335,0.534356,0.534129,0.627772,0.451532,0.63393,0.551461,0.737458,0.431425,0.73836
4,0.496371,0.379207,0.53753,0.420858,0.551578,0.480382,0.466045,0.417434,0.447331,0.478559,0.544977,0.539325,0.450682,0.541035,0.511701,0.534783,0.466937,0.535318,0.534503,0.629271,0.451159,0.634104,0.552066,0.737598,0.431932,0.737194
5,0.496033,0.37839,0.537831,0.420044,0.552037,0.479869,0.465696,0.416745,0.446901,0.47785,0.545605,0.539187,0.450462,0.54035,0.511677,0.534422,0.466694,0.53492,0.534948,0.629299,0.451653,0.633288,0.552698,0.735651,0.431713,0.737198
6,0.495824,0.378564,0.537349,0.420617,0.552117,0.480366,0.465999,0.417953,0.447197,0.477942,0.545637,0.539183,0.450666,0.540283,0.511614,0.534568,0.466853,0.535092,0.534452,0.628928,0.450777,0.633324,0.55201,0.738119,0.431906,0.736897
7,0.496026,0.37851,0.537408,0.420616,0.551754,0.479873,0.465941,0.417401,0.446654,0.478076,0.545505,0.538848,0.450693,0.539654,0.511052,0.533772,0.466397,0.534525,0.533823,0.628452,0.450163,0.633201,0.551398,0.737842,0.431789,0.73698
8,0.495637,0.378803,0.537149,0.420844,0.551603,0.480884,0.465552,0.41765,0.4468,0.479017,0.545038,0.539132,0.450756,0.540284,0.510941,0.534042,0.466247,0.534882,0.534017,0.628351,0.450765,0.633002,0.551633,0.737665,0.431749,0.736836
9,0.495727,0.378752,0.53723,0.420839,0.551445,0.480842,0.465386,0.417484,0.446742,0.47868,0.545014,0.539156,0.450653,0.540218,0.510809,0.534264,0.466061,0.534923,0.533911,0.628612,0.450355,0.633268,0.551787,0.737777,0.431815,0.736964
10,0.495819,0.378759,0.537309,0.420686,0.551512,0.480905,0.465668,0.417418,0.446884,0.478442,0.544834,0.539287,0.450785,0.540156,0.510776,0.534129,0.466197,0.534777,0.533828,0.628601,0.450518,0.633135,0.55179,0.737782,0.431896,0.736945
11,0.495737,0.378849,0.53711,0.420805,0.551808,0.481789,0.465805,0.417786,0.446661,0.479323,0.544652,0.539514,0.450596,0.540296,0.510865,0.533914,0.466175,0.534595,0.533988,0.628677,0.450657,0.632849,0.551855,0.737619,0.431855,0.736758
12,0.496474,0.377559,0.532197,0.421317,0.550474,0.480746,0.467203,0.417167,0.447686,0.480148,0.54577,0.541293,0.453035,0.543147,0.510481,0.535814,0.466004,0.536181,0.534291,0.633039,0.443919,0.639859,0.553919,0.738719,0.430785,0.743566
13,0.496192,0.377299,0.53197,0.421007,0.54992,0.480345,0.466189,0.41615,0.447592,0.477845,0.545771,0.540583,0.0,0.0,0.509988,0.536434,0.465231,0.536238,0.534423,0.632344,0.444421,0.639398,0.553859,0.737552,0.430603,0.742751
14,0.495865,0.377397,0.531742,0.421267,0.549731,0.480048,0.465976,0.416297,0.44684,0.478491,0.545713,0.540697,0.452585,0.542404,0.509503,0.536417,0.465494,0.536184,0.5343,0.632603,0.44414,0.639652,0.553745,0.73824,0.431345,0.742721
15,0.495562,0.377387,0.538028,0.421971,0.550156,0.481915,0.465886,0.417354,0.447097,0.48064,0.545855,0.541501,0.452914,0.542725,0.50956,0.538303,0.465428,0.537576,0.534263,0.634662,0.443373,0.641369,0.553698,0.739097,0.431123,0.743153
16,0.495869,0.377166,0.53179,0.42205,0.550284,0.481625,0.4663,0.416811,0.447075,0.480252,0.545702,0.54172,0.45242,0.542743,0.509451,0.537418,0.465235,0.536711,0.533992,0.634808,0.443119,0.641792,0.553378,0.739145,0.43129,0.743415
17,0.496036,0.376932,0.531823,0.421566,0.550731,0.480813,0.466522,0.416491,0.44732,0.479072,0.545872,0.541388,0.452461,0.54282,0.509556,0.536361,0.465502,0.536098,0.534214,0.63389,0.443637,0.640692,0.55342,0.738788,0.431343,0.742912
18,0.495865,0.377006,0.531844,0.422002,0.551048,0.481617,0.465828,0.41647,0.446895,0.479447,0.545759,0.541702,0.452196,0.542966,0.509363,0.536498,0.465291,0.536245,0.533976,0.634109,0.443416,0.640925,0.553216,0.738728,0.431425,0.742822
19,0.496142,0.377184,0.532027,0.421827,0.551334,0.48135,0.465982,0.416454,0.447121,0.479442,0.545959,0.541554,0.452358,0.542946,0.509496,0.536038,0.465216,0.536047,0.534049,0.633974,0.44383,0.640805,0.553202,0.73894,0.431696,0.742686
20,0.496086,0.377244,0.531987,0.422162,0.551253,0.481438,0.466046,0.416609,0.447281,0.479363,0.545986,0.541572,0.451956,0.543073,0.50951,0.535898,0.465417,0.535866,0.534271,0.633623,0.444395,0.640377,0.553174,0.738667,0.431854,0.742557
21,0.495979,0.377378,0.532038,0.422066,0.551134,0.481547,0.466222,0.416747,0.447262,0.479284,0.545817,0.541474,0.451845,0.543063,0.50967,0.53585,0.465619,0.535724,0.534086,0.633243,0.443873,0.640232,0.553022,0.738569,0.43193,0.742086
22,0.495965,0.377112,0.531877,0.421955,0.551008,0.481127,0.466631,0.416865,0.447427,0.479662,0.54594,0.541378,0.452136,0.543159,0.509668,0.535442,0.465909,0.535362,0.533891,0.632815,0.44385,0.639905,0.552801,0.738268,0.431531,0.742066
23,0.49588,0.377121,0.531997,0.421968,0.551003,0.481289,0.466405,0.41657,0.447312,0.479472,0.546096,0.541431,0.452017,0.542894,0.509869,0.53528,0.465764,0.53513,0.534144,0.632998,0.443881,0.639749,0.552984,0.738508,0.431537,0.741981
24,0.495944,0.378759,0.538099,0.421078,0.550054,0.481614,0.466241,0.417328,0.447217,0.481449,0.544605,0.540766,0.451733,0.54272,0.51052,0.536288,0.466597,0.536315,0.534685,0.631277,0.444173,0.638271,0.553014,0.737765,0.431236,0.740459
25,0.495652,0.377907,0.537975,0.42057,0.55012,0.480632,0.465783,0.416117,0.446879,0.479104,0.545295,0.539723,0.451681,0.540876,0.509252,0.535119,0.465712,0.534853,0.534054,0.62874,0.448426,0.637477,0.552488,0.73664,0.431413,0.739892
26,0.495291,0.378264,0.537555,0.420983,0.549642,0.480874,0.465811,0.416754,0.446888,0.47873,0.545228,0.539474,0.451764,0.540359,0.509139,0.535093,0.466028,0.534831,0.534003,0.628277,0.448615,0.637126,0.553209,0.73644,0.431388,0.739821
27,0.495347,0.378176,0.53788,0.421019,0.550045,0.481329,0.46642,0.416936,0.447136,0.480022,0.545006,0.53989,0.451783,0.540861,0.50978,0.535802,0.46646,0.535393,0.534345,0.62872,0.448865,0.637387,0.553298,0.736745,0.431667,0.739626
28,0.495491,0.378036,0.538264,0.421143,0.550228,0.481396,0.466838,0.417073,0.447408,0.480316,0.545171,0.540265,0.451622,0.541122,0.510449,0.536888,0.466794,0.535967,0.534497,0.629883,0.449379,0.638071,0.553453,0.736991,0.431581,0.739812
29,0.495647,0.377909,0.538374,0.421105,0.550416,0.480965,0.466711,0.416836,0.447299,0.479436,0.545369,0.54005,0.451454,0.540991,0.510327,0.536394,0.466605,0.535532,0.534505,0.629407,0.449178,0.637655,0.553114,0.736782,0.431487,0.739657
30,0.495657,0.37801,0.538356,0.42136,0.55045,0.481132,0.466585,0.417086,0.447323,0.479696,0.545308,0.540007,0.451482,0.541031,0.510329,0.536409,0.466638,0.535611,0.534629,0.62917,0.449484,0.637441,0.553169,0.736737,0.431493,0.739835
31,0.495396,0.377649,0.538397,0.420664,0.550527,0.481081,0.466557,0.416707,0.447398,0.48011,0.545382,0.540184,0.451493,0.541463,0.51048,0.536391,0.466743,0.535701,0.534655,0.629598,0.449416,0.63797,0.553181,0.736789,0.431336,0.740015
32,0.495105,0.378007,0.537854,0.420446,0.54992,0.480729,0.466282,0.416101,0.447443,0.478334,0.544659,0.539783,0.452228,0.540999,0.509563,0.534601,0.466284,0.534556,0.534085,0.627623,0.448634,0.636351,0.552703,0.735979,0.431495,0.739616
33,0.495381,0.378642,0.537914,0.422137,0.550006,0.482194,0.465807,0.417351,0.44739,0.479299,0.544705,0.540233,0.451932,0.541262,0.509262,0.535144,0.465988,0.534892,0.53412,0.627562,0.448225,0.636021,0.552645,0.7357,0.431362,0.739322
34,0.498847,0.378913,0.537734,0.421709,0.549718,0.481944,0.46594,0.417146,0.447381,0.478577,0.544213,0.539953,0.45195,0.541618,0.508805,0.53422,0.466021,0.534389,0.533934,0.626696,0.448367,0.635657,0.552508,0.735607,0.431401,0.739239
