FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
0,0.542036,0.320736,0.577296,0.358163,0.600535,0.420551,0.510356,0.366904,0.502409,0.428468,0.588858,0.405738,0.502028,0.464451,0.575843,0.487538,0.52693,0.488453,0.0,0.0,0.538747,0.565356,0.56919,0.644988,0.539835,0.648723
1,0.541595,0.319403,0.576331,0.357997,0.600218,0.417922,0.510621,0.368119,0.500592,0.430989,0.588795,0.394426,0.501572,0.462122,0.575828,0.485923,0.527779,0.487685,0.570264,0.55647,0.538931,0.565129,0.568013,0.641985,0.543117,0.646708
2,0.542383,0.319575,0.577419,0.359619,0.601,0.418353,0.511941,0.369877,0.500525,0.432506,0.588897,0.405918,0.5017,0.464129,0.576973,0.488088,0.529149,0.489243,0.570632,0.558407,0.538381,0.567751,0.567537,0.643088,0.542315,0.646854
3,0.541828,0.31904,0.576816,0.358482,0.600566,0.418431,0.510239,0.368743,0.49865,0.43084,0.588067,0.405399,0.499097,0.46182,0.575406,0.48648,0.527022,0.487372,0.567873,0.556473,0.537063,0.565149,0.566986,0.640043,0.542073,0.64514
4,0.540905,0.318755,0.576505,0.356936,0.60053,0.416156,0.508943,0.367024,0.0,0.0,0.587274,0.406037,0.496257,0.46055,0.573435,0.484627,0.524867,0.485824,0.56439,0.555073,0.536225,0.563744,0.566425,0.640361,0.541149,0.645428
5,0.541025,0.319132,0.576799,0.35646,0.600717,0.415886,0.508255,0.36636,0.0,0.0,0.58747,0.406536,0.496523,0.460333,0.573682,0.485244,0.524343,0.486245,0.565139,0.555432,0.536489,0.564286,0.566646,0.639542,0.541452,0.645097
6,0.541125,0.31909,0.576943,0.356637,0.600625,0.416561,0.508813,0.366463,0.0,0.0,0.587653,0.4065,0.497615,0.460453,0.574169,0.4857,0.524884,0.486592,0.566478,0.555545,0.537051,0.564268,0.566653,0.639092,0.541687,0.644827
7,0.541362,0.319138,0.57686,0.356847,0.600507,0.417324,0.509288,0.366658,0.498125,0.425925,0.587645,0.406193,0.497109,0.459657,0.573847,0.485266,0.524927,0.486277,0.565619,0.555247,0.537235,0.563625,0.566664,0.639152,0.541842,0.644887
8,0.541288,0.319223,0.576848,0.35678,0.60051,0.417419,0.509176,0.366715,0.49805,0.426741,0.58768,0.406157,0.497304,0.460312,0.573908,0.485741,0.524979,0.486759,0.566072,0.555589,0.537129,0.564297,0.566695,0.639334,0.541791,0.645293
9,0.541249,0.319064,0.576841,0.356812,0.600416,0.417817,0.508913,0.366624,0.0,0.0,0.587699,0.406066,0.497004,0.460484,0.573797,0.485702,0.524697,0.486745,0.566079,0.555605,0.53706,0.564222,0.566683,0.639072,0.541677,0.645071
10,0.541664,0.318944,0.576971,0.356998,0.600655,0.417292,0.508834,0.366689,0.497501,0.426892,0.587868,0.406375,0.497859,0.460705,0.573885,0.485538,0.524793,0.48651,0.565778,0.5557,0.536998,0.564441,0.566599,0.639331,0.541749,0.645255
11,0.541357,0.318842,0.576959,0.356697,0.600691,0.417177,0.508469,0.366506,0.49769,0.427143,0.587784,0.406049,0.497826,0.460874,0.57404,0.486035,0.524927,0.487071,0.56616,0.556191,0.537169,0.565085,0.566492,0.63937,0.541968,0.645351
12,0.541729,0.320798,0.576995,0.360354,0.598656,0.424829,0.512509,0.365854,0.50544,0.427323,0.589012,0.404701,0.500874,0.465594,0.575047,0.487151,0.526441,0.487117,0.0,0.0,0.538221,0.56223,0.568238,0.642102,0.541155,0.64529
13,0.543451,0.321453,0.577473,0.362269,0.599424,0.425144,0.514857,0.367777,0.50634,0.429013,0.590204,0.404895,0.502419,0.464787,0.578483,0.489536,0.529918,0.489162,0.0,0.0,0.53974,0.561528,0.568133,0.642346,0.541286,0.644826
14,0.543138,0.321217,0.577539,0.36197,0.599952,0.425178,0.514514,0.367637,0.506036,0.428928,0.59032,0.405621,0.50255,0.463676,0.578122,0.489296,0.529204,0.488879,0.0,0.0,0.540032,0.561253,0.568317,0.642232,0.541838,0.644933
15,0.542844,0.321132,0.577237,0.36204,0.599464,0.424571,0.514025,0.367833,0.50534,0.42888,0.589977,0.404944,0.502065,0.463704,0.577053,0.488751,0.528314,0.488544,0.571353,0.56118,0.539472,0.560977,0.567341,0.641284,0.541196,0.644133
16,0.543198,0.321285,0.577358,0.361956,0.599571,0.424701,0.514254,0.367976,0.505363,0.428786,0.590106,0.405098,0.501456,0.464078,0.577143,0.488698,0.528476,0.488493,0.57099,0.561196,0.539454,0.560891,0.567157,0.641349,0.541018,0.644279
17,0.542465,0.320639,0.577149,0.361173,0.599492,0.423734,0.514019,0.367311,0.505441,0.428337,0.589922,0.404673,0.501605,0.463737,0.577194,0.488233,0.528359,0.488275,0.570569,0.560887,0.539814,0.560792,0.567016,0.641539,0.541386,0.644575
18,0.542638,0.320912,0.576708,0.361771,0.598967,0.424265,0.513802,0.367242,0.505309,0.428731,0.589535,0.404661,0.502111,0.462797,0.576686,0.488293,0.528222,0.488208,0.571274,0.560763,0.539583,0.560396,0.567076,0.641439,0.541081,0.644238
19,0.542362,0.32095,0.576467,0.361898,0.598956,0.424511,0.513822,0.367288,0.504804,0.429221,0.589406,0.404839,0.502628,0.464131,0.576821,0.488075,0.528707,0.487894,0.571469,0.56072,0.539909,0.560337,0.566974,0.641567,0.541674,0.64426
20,0.542649,0.321443,0.576565,0.362591,0.598942,0.425393,0.514074,0.368372,0.504049,0.430605,0.588854,0.405092,0.501475,0.465079,0.57648,0.48864,0.528555,0.488483,0.570717,0.561211,0.539597,0.561119,0.566855,0.641713,0.54151,0.644427
21,0.542623,0.321536,0.576369,0.362682,0.598784,0.425922,0.514032,0.368343,0.504064,0.43069,0.588626,0.405412,0.501635,0.465165,0.576347,0.488623,0.528502,0.48842,0.570639,0.56124,0.539511,0.561141,0.566785,0.641743,0.541519,0.644361
22,0.542434,0.3214,0.576376,0.362569,0.598719,0.425883,0.513923,0.368217,0.504162,0.430465,0.588488,0.405424,0.501526,0.465058,0.576359,0.488519,0.528449,0.488328,0.571524,0.556271,0.53945,0.561274,0.566832,0.641764,0.541394,0.644386
23,0.542398,0.321357,0.576245,0.362314,0.598722,0.425746,0.51406,0.368071,0.504619,0.429577,0.588631,0.40523,0.500958,0.463781,0.576074,0.488063,0.528328,0.488091,0.570403,0.56106,0.539607,0.561101,0.566871,0.64181,0.541426,0.644588
24,0.543862,0.323148,0.577764,0.364447,0.59944,0.429563,0.512046,0.371816,0.503496,0.432097,0.59109,0.404852,0.496491,0.46728,0.574361,0.490179,0.52592,0.490447,0.571922,0.557709,0.537631,0.56345,0.568325,0.643835,0.539678,0.646141
25,0.542989,0.322519,0.578593,0.362165,0.598524,0.426541,0.51138,0.36905,0.0,0.0,0.588817,0.403566,0.497395,0.471674,0.57579,0.48871,0.526003,0.488964,0.57195,0.558734,0.538208,0.564228,0.568691,0.642444,0.54173,0.644756
26,0.542122,0.320903,0.578216,0.36106,0.598222,0.423084,0.511097,0.367036,0.0,0.0,0.588825,0.402555,0.498388,0.467838,0.574229,0.486926,0.524747,0.48741,0.568421,0.556584,0.537699,0.561458,0.567988,0.640852,0.542251,0.643922
27,0.543327,0.321737,0.578747,0.360121,0.599623,0.42054,0.511455,0.366836,0.50601,0.420983,0.589785,0.404212,0.501709,0.465871,0.576083,0.486819,0.526941,0.486849,0.571762,0.556886,0.539245,0.563087,0.56929,0.642521,0.542608,0.645154
28,0.543783,0.321883,0.576928,0.361025,0.599799,0.417717,0.513068,0.36835,0.505765,0.421725,0.590328,0.404692,0.500192,0.462886,0.573864,0.486799,0.526531,0.486868,0.570429,0.556577,0.539271,0.56268,0.569007,0.64277,0.542293,0.645265
29,0.543823,0.324702,0.579217,0.364757,0.601292,0.419223,0.511188,0.372089,0.502513,0.423186,0.587026,0.415914,0.49696,0.465277,0.57734,0.492907,0.525822,0.491507,0.573568,0.559348,0.537239,0.565838,0.569093,0.6404,0.541681,0.644412
30,0.544263,0.324751,0.578476,0.364147,0.601455,0.421465,0.512494,0.372022,0.502668,0.424119,0.59116,0.4042,0.491207,0.457987,0.57551,0.491271,0.524517,0.49095,0.56831,0.557481,0.537269,0.563717,0.567624,0.640553,0.541173,0.644722
