FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
1,-0.005513781,0.23991455,-0.13286987,-0.112235226,0.09210278,-0.09896704,-0.17096557,0.2981669,-0.19066332,0.09748673,0.09105854,-0.120436594,0.15060809,0.3045211,-0.21230303,-0.18225962,0.49453226,-0.2860411,0.17944685,0.52236414,-0.2920108,-0.0481554,-0.29323864,-0.0062157703,0.05383015,-0.29113188,-0.009148108,-0.12736905,-0.35404974,-0.2779995,0.13484253,-0.34811744,-0.27851427,-0.13264443,-0.63351506,-0.08303394,0.14015207,-0.6327622,-0.07912919
2,-0.0068668793,0.3013899,-0.1313913,-0.14041328,0.11665127,-0.09786592,-0.21374682,0.37438157,-0.18920398,0.121962704,0.11538165,-0.11926645,0.18808118,0.38247493,-0.21067208,-0.22732034,0.61994445,-0.28421548,0.2236823,0.6550614,-0.28996742,-0.059996698,-0.36554432,-0.0077754376,0.067402005,-0.3629097,-0.010747874,-0.15927371,-0.44267625,-0.27622434,0.16841719,-0.43554342,-0.27613458,-0.16603999,-0.7928892,-0.08227608,0.17554224,-0.79231566,-0.0780548
3,-0.0069352663,0.30274528,-0.13416032,-0.14053659,0.118058205,-0.099976555,-0.2138457,0.37566066,-0.19356737,0.12198217,0.11678143,-0.12250284,0.18796803,0.38383806,-0.21611784,-0.22728378,0.6210862,-0.29052436,0.2233663,0.6562692,-0.29678527,-0.06000452,-0.36439624,-0.007519596,0.06742742,-0.36176452,-0.010791449,-0.15915203,-0.44244555,-0.27499112,0.16814461,-0.43546814,-0.2764571,-0.16591024,-0.7931486,-0.081112154,0.17543633,-0.792706,-0.078039095
4,-0.0069525205,0.305065,-0.13608308,-0.14076228,0.12044797,-0.10177307,-0.21388698,0.37830824,-0.19683169,0.1220451,0.11923037,-0.12496838,0.18751335,0.3867319,-0.22034837,-0.22645961,0.623881,-0.2955203,0.22220586,0.65960586,-0.30216476,-0.05970605,-0.3627958,-0.010058142,0.06755331,-0.36015174,-0.013474269,-0.15923916,-0.4424461,-0.2756431,0.16788015,-0.43584523,-0.27704343,-0.16625994,-0.79459137,-0.079296455,0.17591651,-0.7947024,-0.07614846
5,-0.0069778636,0.30601647,-0.13680375,-0.14083667,0.12160984,-0.10242481,-0.21356663,0.3798912,-0.1975861,0.121948875,0.12039871,-0.125815,0.18679845,0.38849446,-0.22138804,-0.22567208,0.62544024,-0.29658496,0.22104594,0.6616171,-0.30316156,-0.059460968,-0.36204955,-0.010151096,0.06762774,-0.35940978,-0.013566742,-0.1593173,-0.44218156,-0.27678105,0.16766436,-0.4358208,-0.27840877,-0.16649032,-0.7954467,-0.07887114,0.17621993,-0.7959312,-0.07575839
6,-0.006834317,0.30252197,-0.13507502,-0.14059761,0.11812959,-0.10074884,-0.21314377,0.3769141,-0.19576065,0.12192739,0.11680837,-0.1239677,0.18668555,0.38542995,-0.21925128,-0.22554876,0.6225341,-0.29451802,0.22121537,0.6587249,-0.30098668,-0.059500027,-0.36536586,-0.008358132,0.06773097,-0.36274573,-0.011768112,-0.15932064,-0.44287843,-0.2747078,0.16798477,-0.43650493,-0.2760069,-0.16635706,-0.79511225,-0.07902774,0.17615677,-0.79549277,-0.075499065
7,-0.0068802717,0.30287614,-0.13425742,-0.14055276,0.11859409,-0.09982605,-0.21290892,0.3774052,-0.19419406,0.12183359,0.11720362,-0.12300027,0.18652558,0.38582915,-0.21765734,-0.22560914,0.6228692,-0.29250243,0.22128296,0.6587998,-0.29924414,-0.05960639,-0.364738,-0.008089915,0.06766255,-0.3621357,-0.0115302075,-0.15917535,-0.442474,-0.27445412,0.1678288,-0.43605435,-0.27542782,-0.16613334,-0.7947205,-0.079845704,0.1758697,-0.7950119,-0.07599153
8,-0.0069480347,0.30387223,-0.13688344,-0.14063862,0.11966334,-0.10178979,-0.21287978,0.3785094,-0.19384217,0.121732324,0.118300095,-0.124410264,0.18619,0.387048,-0.21725732,-0.22528513,0.6239987,-0.29096282,0.22081248,0.66017205,-0.29818648,-0.05954251,-0.36380467,-0.009234045,0.06759647,-0.3611965,-0.012307083,-0.15923533,-0.4422929,-0.28468725,0.1676973,-0.43600276,-0.28506672,-0.16630805,-0.7952862,-0.08404227,0.17605983,-0.7957752,-0.08017918
9,-0.0069847866,0.3028545,-0.13363434,-0.14058112,0.11870483,-0.099369906,-0.2127378,0.37760305,-0.19365725,0.12157036,0.11735102,-0.122238815,0.18592235,0.3861886,-0.21663217,-0.22522281,0.6230772,-0.29153335,0.22070213,0.6594166,-0.29813197,-0.059569877,-0.36451706,-0.00783743,0.06749152,-0.36190262,-0.0112599,-0.15932702,-0.44226998,-0.2737039,0.16780712,-0.4359155,-0.27461797,-0.16638872,-0.795138,-0.080373034,0.17612827,-0.795538,-0.07647326
10,-0.00688431,0.29738873,-0.13768423,-0.14030114,0.11332531,-0.102699555,-0.21234319,0.3727213,-0.1987974,0.12139052,0.11208758,-0.12690958,0.18568598,0.3812964,-0.22360457,-0.22490227,0.6185047,-0.29893044,0.22061121,0.65520066,-0.30604073,-0.05944588,-0.36941025,-0.009948872,0.067424886,-0.3667597,-0.013590215,-0.15987164,-0.4430285,-0.27523723,0.1686463,-0.43621334,-0.27698308,-0.16687292,-0.7944913,-0.078153566,0.17662545,-0.7944599,-0.07481609
