FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.0074639255,0.7268651,0.15643999,-0.07593512,0.5785045,0.17815733,-0.12586445,0.7422635,0.28486672,0.07698037,0.5513201,0.16495043,0.11632162,0.7357182,0.29007944,-0.15696812,0.86802554,0.34049964,0.13902964,0.8771485,0.34668344,-0.04349502,0.28794974,-0.069352016,0.032095972,0.28256762,-0.082830966,-0.046681125,-0.10787874,0.096927464,0.035960495,-0.13574667,0.12528372,-0.08503104,-0.3444232,-0.06576342,0.056100532,-0.3538428,-0.07949348
1,0.009777405,0.9700731,0.1550507,-0.10122908,0.77244246,0.17714837,-0.16723154,0.9913288,0.28309053,0.10238428,0.7362011,0.16309373,0.15455875,0.98251283,0.28662488,-0.20865212,1.1592119,0.33829093,0.18479194,1.1710734,0.3430342,-0.057964195,0.38522083,-0.06995112,0.042801764,0.37808126,-0.0835969,-0.062410418,-0.14381129,0.097252235,0.047925547,-0.18102448,0.12536773,-0.113468006,-0.4595507,-0.064338095,0.07478942,-0.4723286,-0.07662404
2,0.012131555,1.2126567,0.1516663,-0.12647335,0.9658004,0.17311813,-0.20860018,1.2397057,0.27575952,0.12783943,0.92051417,0.15972467,0.19285604,1.2286057,0.28093535,-0.2604577,1.4497072,0.32973546,0.23069738,1.4642043,0.3355993,-0.07246832,0.48191208,-0.07023711,0.05353518,0.4730116,-0.08368868,-0.07820055,-0.17978479,0.09467457,0.05994604,-0.22629416,0.12241187,-0.14180905,-0.5745044,-0.064385526,0.093451664,-0.5905099,-0.078146316
3,0.011845506,1.2093683,0.14899135,-0.12663485,0.96291065,0.17174785,-0.20863535,1.2370591,0.2729187,0.12770157,0.9179516,0.1575499,0.19267014,1.2261162,0.27739522,-0.26045975,1.4474874,0.32631236,0.23039213,1.4619223,0.33123916,-0.072403915,0.4791596,-0.068863355,0.053688504,0.47036728,-0.08256729,-0.07874402,-0.18095005,0.09586458,0.06042175,-0.22714807,0.12279745,-0.14196725,-0.5759176,-0.06536976,0.09388015,-0.5918697,-0.08089041
4,0.011909595,1.2059208,0.14965191,-0.12651865,0.95926946,0.17240441,-0.20913717,1.2330576,0.27331287,0.12776232,0.91465384,0.15811808,0.19313721,1.2227083,0.27759624,-0.26156372,1.4436766,0.32657802,0.23106557,1.4587487,0.33126605,-0.072474815,0.47617948,-0.06827794,0.053776357,0.4673798,-0.08200778,-0.07882863,-0.18120158,0.09596327,0.060714185,-0.2275508,0.122411095,-0.142139,-0.57621735,-0.06450145,0.09404116,-0.5924216,-0.08037224
5,0.012116908,1.1988629,0.14621732,-0.12632497,0.9519471,0.16890217,-0.21017562,1.224933,0.2672589,0.12795661,0.9078651,0.15463862,0.19391932,1.2155627,0.27057496,-0.26371706,1.4358104,0.3176694,0.23229878,1.4520308,0.32245696,-0.07252018,0.46966594,-0.06515355,0.05399842,0.46085793,-0.078568876,-0.07908708,-0.18203308,0.090511516,0.061393023,-0.22844149,0.11530032,-0.14230993,-0.576607,-0.062844366,0.09445233,-0.5928736,-0.08045242
6,0.013027016,1.1894794,0.15590963,-0.12562135,0.94180614,0.17809473,-0.21173403,1.2130853,0.28156328,0.12894014,0.89843315,0.16480261,0.1960279,1.2049952,0.28571254,-0.26671427,1.4238688,0.3329234,0.23500368,1.4416732,0.33927977,-0.072215565,0.4602963,-0.06094018,0.054764863,0.4514117,-0.07403581,-0.07900052,-0.18347107,0.09246151,0.06264563,-0.23017374,0.11687208,-0.14213775,-0.5762947,-0.06235201,0.0952073,-0.5930225,-0.08378072
7,0.01391293,1.1755661,0.15345335,-0.1250615,0.92717004,0.17488573,-0.21406218,1.1962435,0.27504748,0.13011889,0.88482225,0.16282472,0.19878247,1.189774,0.2808584,-0.2703564,1.4070177,0.3232091,0.2381449,1.4269354,0.33163303,-0.07180473,0.44643492,-0.057553623,0.055734564,0.43753162,-0.070065364,-0.07912287,-0.18625462,0.085740745,0.06447,-0.2330124,0.10740089,-0.14206007,-0.5771999,-0.059695493,0.09636951,-0.59441304,-0.08658793
8,0.015129174,1.1506337,0.14867923,-0.12444356,0.90118307,0.17032892,-0.21814881,1.1660889,0.26903957,0.1322612,0.8607827,0.1600912,0.2037067,1.162096,0.27896947,-0.2748867,1.3764751,0.31518507,0.2423322,1.3996688,0.32585615,-0.07074007,0.42177367,-0.060097378,0.057719667,0.41297263,-0.07228044,-0.079460636,-0.19255638,0.077792645,0.06796346,-0.2389736,0.09719569,-0.14172064,-0.5805061,-0.061443917,0.09833574,-0.598759,-0.096665114
9,0.015597318,1.1187766,0.14464973,-0.124319196,0.8691682,0.16593876,-0.22174275,1.1304926,0.26034904,0.13401037,0.83129007,0.1561319,0.20793688,1.1289277,0.26984552,-0.27739686,1.3410302,0.30174416,0.24488626,1.3671857,0.31303245,-0.069195315,0.39153814,-0.05530316,0.060033858,0.3831216,-0.06687453,-0.08068257,-0.20248589,0.06850995,0.072629325,-0.24776027,0.08640171,-0.14188752,-0.5883483,-0.059999216,0.101320595,-0.60803795,-0.09650875
10,0.015345661,1.0808709,0.12520106,-0.12492916,0.83186215,0.14503108,-0.2257705,1.0895659,0.22636418,0.13539833,0.79675704,0.13847259,0.21217293,1.0902724,0.2396489,-0.27946654,1.3005997,0.25491542,0.24699327,1.329628,0.27084565,-0.067795284,0.3559288,-0.047798473,0.06218556,0.3480655,-0.057378918,-0.08259986,-0.21464993,0.034886252,0.07785495,-0.2580035,0.049720578,-0.14242594,-0.5993615,-0.062482573,0.10463328,-0.62021166,-0.1023291
11,0.014432061,1.0359204,0.10398635,-0.12647742,0.7881955,0.12417503,-0.23125401,1.0415328,0.19292136,0.13686673,0.7565775,0.11865262,0.2168997,1.0449058,0.20812671,-0.2813125,1.2535293,0.2136025,0.2483404,1.2861838,0.23185459,-0.066204056,0.3137285,-0.043756682,0.064400986,0.30663097,-0.05242244,-0.08539535,-0.22975431,0.0136377495,0.083961844,-0.27038723,0.0270961,-0.14355066,-0.61471915,-0.068269044,0.10904137,-0.63642406,-0.10831478
12,0.0124011915,0.98347735,0.09048846,-0.12843923,0.73963827,0.1106938,-0.23471148,0.9901113,0.16625099,0.13742413,0.71189004,0.10446025,0.21936363,0.99575776,0.17799886,-0.27951267,1.2046995,0.1754492,0.24707884,1.2401172,0.19319758,-0.06383287,0.26668596,-0.031027477,0.066647835,0.26072246,-0.038586706,-0.09094517,-0.24914047,-0.0049120956,0.09205537,-0.28559458,0.0077330554,-0.14581694,-0.63597476,-0.06802168,0.11597934,-0.65777117,-0.10370823
