FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.02469086,-0.30549058,-0.018785262,-0.12703425,-0.426884,-0.011260768,-0.29270473,-0.41702956,0.1328801,0.07084155,-0.38588476,0.013126321,0.23063543,-0.36249387,0.15875928,-0.36443374,-0.35633016,0.17076011,0.35865226,-0.24766573,0.23165596,-0.057423618,-0.6028143,0.1600125,0.002160171,-0.59173155,0.18322186,-0.112163454,-0.26498652,-0.38839594,0.16870892,-0.23564726,-0.31331667,-0.15622751,-0.53223246,-0.16083004,0.17306173,-0.51093787,-0.046685148
1,-0.024967998,-0.43002096,-0.11993482,-0.16634907,-0.6029453,-0.08897782,-0.4108195,-0.60338145,-0.005416114,0.10584397,-0.5481941,-0.07426232,0.32827705,-0.5247129,0.022675084,-0.52109426,-0.53243273,0.017140254,0.5016788,-0.3797387,0.07519173,-0.076798156,-0.84479314,0.23260473,0.011549044,-0.8324699,0.25527912,-0.13188972,-0.38021573,-0.34699273,0.21129197,-0.3468837,-0.24424936,-0.18481304,-0.7210791,-0.18890223,0.20832768,-0.69434476,-0.010231925
2,-0.02414888,-0.61061734,-0.09319575,-0.21161069,-0.84490645,-0.06928711,-0.5708368,-0.8908951,0.059444766,0.14638667,-0.77097154,-0.04901571,0.4590649,-0.7769989,0.091104925,-0.75290143,-0.83687013,0.09707974,0.7131239,-0.62381417,0.15956458,-0.100947306,-1.1470639,0.18025766,0.019786028,-1.1333593,0.20328687,-0.14754353,-0.502594,-0.36217874,0.2578762,-0.46165797,-0.27717394,-0.2108277,-0.9108006,-0.1536338,0.24051256,-0.8751469,-0.020496482
3,-0.013226548,-0.68977755,0.0025674808,-0.21472667,-0.93940926,0.009742875,-0.63140476,-1.0369221,0.19737546,0.16485368,-0.86013496,0.05515663,0.51786846,-0.9074119,0.24655451,-0.8660449,-1.0319337,0.23498516,0.8194193,-0.7970122,0.32669598,-0.10658018,-1.2373304,0.15459265,0.026427073,-1.2260693,0.18387927,-0.13153192,-0.52633345,-0.47800654,0.2555401,-0.4869593,-0.41701788,-0.18542565,-0.92079663,-0.1525866,0.21814753,-0.8816034,-0.0926064
4,0.009047891,-0.7392828,0.034269605,-0.21348421,-1.0154557,0.048781406,-0.7082192,-1.1924334,0.40399614,0.19673905,-0.9361615,0.114488415,0.6077443,-1.0504693,0.47008902,-1.0265698,-1.2705503,0.50487024,0.98468524,-1.0187703,0.6277303,-0.1211725,-1.3116975,0.18193126,0.036616314,-1.3068303,0.22110492,-0.095800996,-0.5379187,-0.6342735,0.24401952,-0.49753776,-0.5616469,-0.14026351,-0.8981151,-0.18917379,0.17222938,-0.85470587,-0.12589683
5,0.022042712,-0.7635862,-0.000114143375,-0.21294382,-1.0556674,0.008392397,-0.74880743,-1.265961,0.3608372,0.21619855,-0.97694767,0.07932784,0.65240276,-1.1172265,0.43553036,-1.1018922,-1.3828393,0.4717759,1.055883,-1.1195118,0.5943852,-0.12859234,-1.3574991,0.16084704,0.04362619,-1.3567797,0.20154983,-0.07456537,-0.5522193,-0.644905,0.2309073,-0.51710236,-0.56981236,-0.11017247,-0.8899279,-0.16436917,0.14285906,-0.8433899,-0.09889043
6,0.024529304,-0.75996757,-0.0056383465,-0.21581618,-1.061273,-0.008470051,-0.7695494,-1.2810006,0.37713203,0.22194579,-0.98078483,0.09286531,0.66735184,-1.1242925,0.48672962,-1.1351275,-1.4085078,0.5028141,1.0829362,-1.1319119,0.6343571,-0.1297238,-1.3674327,0.22603694,0.04468104,-1.367493,0.27839312,-0.06783855,-0.54800254,-0.6643527,0.22942469,-0.5135493,-0.55100036,-0.107502185,-0.8810016,-0.18776204,0.14075574,-0.832743,-0.09382089
7,0.023272803,-0.66779035,-0.0030694534,-0.21766637,-0.9724214,-0.01990227,-0.7603292,-1.1703928,0.2916156,0.22164972,-0.894805,0.049701806,0.6502828,-1.0134927,0.36073697,-1.0994763,-1.2866545,0.40388083,1.0350951,-1.0038729,0.5083502,-0.12637372,-1.2900611,0.07972265,0.045099538,-1.2910244,0.117074266,-0.065368,-0.5273993,-0.5876736,0.21636654,-0.50157505,-0.5127229,-0.10639665,-0.86776555,-0.14148124,0.13927191,-0.8214608,-0.10719744
8,0.024705535,-0.58386123,0.066184714,-0.2154029,-0.8957351,0.05501746,-0.7441619,-1.0620182,0.38405702,0.22137682,-0.81881773,0.116502695,0.6260127,-0.9007416,0.43088531,-1.0575076,-1.154499,0.49057716,0.9799235,-0.8617208,0.5862814,-0.117789656,-1.2306415,0.08113742,0.048661944,-1.2322085,0.115060344,-0.05579769,-0.5073569,-0.57003796,0.20506641,-0.4879735,-0.50459844,-0.10860262,-0.8566477,-0.1357212,0.14244123,-0.8165791,-0.102750875
9,0.017574131,-0.4862826,0.07338355,-0.21633428,-0.8063493,0.052881967,-0.7213944,-0.9145907,0.42840508,0.21355283,-0.7268078,0.108747296,0.578042,-0.7435104,0.45885223,-0.9810788,-0.94568473,0.5535445,0.8708266,-0.6341384,0.6507237,-0.100756675,-1.1731671,0.03146303,0.053432982,-1.1728935,0.062376928,-0.053147294,-0.5059184,-0.5694852,0.19084024,-0.49864644,-0.5256524,-0.12172098,-0.86682004,-0.1146292,0.15813166,-0.83696455,-0.13403897
