FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
1,-0.024967998,-0.43002096,-0.11993482,-0.16634907,-0.6029453,-0.08897782,-0.4108195,-0.60338145,-0.005416114,0.10584397,-0.5481941,-0.07426232,0.32827705,-0.5247129,0.022675084,-0.52109426,-0.53243273,0.017140254,0.5016788,-0.3797387,0.07519173,-0.076798156,-0.84479314,0.23260473,0.011549044,-0.8324699,0.25527912,-0.13188972,-0.38021573,-0.34699273,0.21129197,-0.3468837,-0.24424936,-0.18481304,-0.7210791,-0.18890223,0.20832768,-0.69434476,-0.010231925
2,-0.02414888,-0.61061734,-0.09319575,-0.21161069,-0.84490645,-0.06928711,-0.5708368,-0.8908951,0.059444766,0.14638667,-0.77097154,-0.04901571,0.4590649,-0.7769989,0.091104925,-0.75290143,-0.83687013,0.09707974,0.7131239,-0.62381417,0.15956458,-0.100947306,-1.1470639,0.18025766,0.019786028,-1.1333593,0.20328687,-0.14754353,-0.502594,-0.36217874,0.2578762,-0.46165797,-0.27717394,-0.2108277,-0.9108006,-0.1536338,0.24051256,-0.8751469,-0.020496482
3,-0.013226548,-0.68977755,0.0025674808,-0.21472667,-0.93940926,0.009742875,-0.63140476,-1.0369221,0.19737546,0.16485368,-0.86013496,0.05515663,0.51786846,-0.9074119,0.24655451,-0.8660449,-1.0319337,0.23498516,0.8194193,-0.7970122,0.32669598,-0.10658018,-1.2373304,0.15459265,0.026427073,-1.2260693,0.18387927,-0.13153192,-0.52633345,-0.47800654,0.2555401,-0.4869593,-0.41701788,-0.18542565,-0.92079663,-0.1525866,0.21814753,-0.8816034,-0.0926064
4,0.009047891,-0.7392828,0.034269605,-0.21348421,-1.0154557,0.048781406,-0.7082192,-1.1924334,0.40399614,0.19673905,-0.9361615,0.114488415,0.6077443,-1.0504693,0.47008902,-1.0265698,-1.2705503,0.50487024,0.98468524,-1.0187703,0.6277303,-0.1211725,-1.3116975,0.18193126,0.036616314,-1.3068303,0.22110492,-0.095800996,-0.5379187,-0.6342735,0.24401952,-0.49753776,-0.5616469,-0.14026351,-0.8981151,-0.18917379,0.17222938,-0.85470587,-0.12589683
5,0.022042712,-0.7635862,-0.000114143375,-0.21294382,-1.0556674,0.008392397,-0.74880743,-1.265961,0.3608372,0.21619855,-0.97694767,0.07932784,0.65240276,-1.1172265,0.43553036,-1.1018922,-1.3828393,0.4717759,1.055883,-1.1195118,0.5943852,-0.12859234,-1.3574991,0.16084704,0.04362619,-1.3567797,0.20154983,-0.07456537,-0.5522193,-0.644905,0.2309073,-0.51710236,-0.56981236,-0.11017247,-0.8899279,-0.16436917,0.14285906,-0.8433899,-0.09889043
6,0.024529304,-0.75996757,-0.0056383465,-0.21581618,-1.061273,-0.008470051,-0.7695494,-1.2810006,0.37713203,0.22194579,-0.98078483,0.09286531,0.66735184,-1.1242925,0.48672962,-1.1351275,-1.4085078,0.5028141,1.0829362,-1.1319119,0.6343571,-0.1297238,-1.3674327,0.22603694,0.04468104,-1.367493,0.27839312,-0.06783855,-0.54800254,-0.6643527,0.22942469,-0.5135493,-0.55100036,-0.107502185,-0.8810016,-0.18776204,0.14075574,-0.832743,-0.09382089
7,0.023272803,-0.66779035,-0.0030694534,-0.21766637,-0.9724214,-0.01990227,-0.7603292,-1.1703928,0.2916156,0.22164972,-0.894805,0.049701806,0.6502828,-1.0134927,0.36073697,-1.0994763,-1.2866545,0.40388083,1.0350951,-1.0038729,0.5083502,-0.12637372,-1.2900611,0.07972265,0.045099538,-1.2910244,0.117074266,-0.065368,-0.5273993,-0.5876736,0.21636654,-0.50157505,-0.5127229,-0.10639665,-0.86776555,-0.14148124,0.13927191,-0.8214608,-0.10719744
8,0.024705535,-0.58386123,0.066184714,-0.2154029,-0.8957351,0.05501746,-0.7441619,-1.0620182,0.38405702,0.22137682,-0.81881773,0.116502695,0.6260127,-0.9007416,0.43088531,-1.0575076,-1.154499,0.49057716,0.9799235,-0.8617208,0.5862814,-0.117789656,-1.2306415,0.08113742,0.048661944,-1.2322085,0.115060344,-0.05579769,-0.5073569,-0.57003796,0.20506641,-0.4879735,-0.50459844,-0.10860262,-0.8566477,-0.1357212,0.14244123,-0.8165791,-0.102750875
9,0.017574131,-0.4862826,0.07338355,-0.21633428,-0.8063493,0.052881967,-0.7213944,-0.9145907,0.42840508,0.21355283,-0.7268078,0.108747296,0.578042,-0.7435104,0.45885223,-0.9810788,-0.94568473,0.5535445,0.8708266,-0.6341384,0.6507237,-0.100756675,-1.1731671,0.03146303,0.053432982,-1.1728935,0.062376928,-0.053147294,-0.5059184,-0.5694852,0.19084024,-0.49864644,-0.5256524,-0.12172098,-0.86682004,-0.1146292,0.15813166,-0.83696455,-0.13403897
10,0.020190854,-0.41577786,0.12860602,-0.21093641,-0.7443312,0.10429788,-0.7071521,-0.82721794,0.47614226,0.21497853,-0.66419536,0.17117976,0.56014085,-0.65089965,0.53289694,-0.94455075,-0.82837987,0.5848937,0.8239665,-0.5062333,0.7031617,-0.08906301,-1.1311117,0.03648026,0.060196083,-1.1307741,0.07144055,-0.047073282,-0.5004439,-0.552691,0.1867086,-0.49835464,-0.50169647,-0.12932019,-0.8585285,-0.08873396,0.16726677,-0.8361604,-0.08473495
11,0.02781475,-0.31052482,0.16056702,-0.20111583,-0.64346623,0.13345166,-0.67857987,-0.69987077,0.5337809,0.21901684,-0.5667577,0.20293851,0.5436546,-0.52811015,0.5958343,-0.89461833,-0.68247557,0.65845007,0.7852174,-0.36315736,0.77966887,-0.08074329,-1.0496901,0.020843035,0.0649163,-1.05041,0.05524949,-0.042777497,-0.47735226,-0.5539148,0.18597901,-0.47773105,-0.5015852,-0.13148953,-0.82632196,-0.09383124,0.17361589,-0.8074571,-0.10430949
12,0.03499816,-0.29470032,0.10651444,-0.19561177,-0.6352916,0.07668292,-0.6789569,-0.69094855,0.40371385,0.22329937,-0.5617383,0.13981663,0.55088407,-0.518373,0.4641862,-0.911031,-0.6797424,0.5041157,0.80665886,-0.3588746,0.60854846,-0.082945846,-1.0455476,-0.057555754,0.06586339,-1.048193,-0.028248725,-0.036412034,-0.4701197,-0.5196088,0.18348567,-0.47469482,-0.4757585,-0.12709771,-0.80234224,-0.08741084,0.16847353,-0.7814256,-0.10876298
13,0.037818126,-0.25092977,0.073557675,-0.19253306,-0.596006,0.03880195,-0.675931,-0.6506023,0.32225707,0.2240776,-0.52803093,0.0987095,0.55121386,-0.48300922,0.38608462,-0.9083958,-0.6431865,0.41184688,0.80378884,-0.32687035,0.51049966,-0.08691648,-1.005896,-0.13236938,0.063660055,-1.0102956,-0.10515933,-0.0350925,-0.4613651,-0.52169293,0.17463525,-0.47445127,-0.4849976,-0.12315126,-0.778575,-0.095966354,0.16116282,-0.75511146,-0.12360523
14,0.052978832,-0.16701533,0.19423673,-0.1688662,-0.5124306,0.17419684,-0.6254804,-0.5407258,0.6804645,0.23472814,-0.45056424,0.22832853,0.53865457,-0.39336902,0.69231105,-0.8216678,-0.51441634,0.87169135,0.75083494,-0.22003047,0.9471732,-0.075556934,-0.9305056,-0.020171937,0.07222251,-0.93654644,0.008004425,-0.03099946,-0.45198303,-0.5782114,0.18433292,-0.46745718,-0.51964563,-0.12751013,-0.7272324,-0.116691776,0.17193404,-0.7083499,-0.14867833
15,0.007154687,-0.04653315,0.2044721,-0.22356796,-0.41391316,0.17375821,-0.7048898,-0.47962978,0.6450333,0.19241618,-0.33398438,0.2308414,0.50680596,-0.3152617,0.67156047,-0.87542003,-0.49308464,0.8246429,0.6989828,-0.17722756,0.90898675,-0.09571954,-0.82781863,-0.057988536,0.03684979,-0.82793427,-0.03299932,-0.03786193,-0.39966807,-0.518352,0.15391846,-0.3795176,-0.46638972,-0.122510225,-0.72770303,-0.1114996,0.15286076,-0.68134403,-0.16496184
16,-0.030549519,0.026343836,0.082283676,-0.27262565,-0.35879228,0.022534918,-0.7886123,-0.4679009,0.35129222,0.15988685,-0.26162165,0.13095927,0.49447125,-0.28259027,0.52818817,-0.95666873,-0.5246529,0.53289497,0.6873422,-0.18569648,0.6827554,-0.11426451,-0.76392305,-0.32541722,0.008480151,-0.7593226,-0.2952911,-0.04023534,-0.3581588,-0.53012073,0.12616858,-0.31059688,-0.5373486,-0.11554043,-0.7388911,-0.09479359,0.13152616,-0.67350435,-0.27719963
17,-0.017396213,0.22256497,-0.037545063,-0.23314069,-0.13409738,-0.087940976,-0.69369805,-0.2351123,0.29224744,0.16808541,-0.018479852,-0.06705817,0.46268135,-0.11452953,0.30796984,-0.7288793,-0.28886288,0.380314,0.5658634,-0.019348912,0.5018317,-0.072220385,-0.4884954,-0.1657466,-0.0026780316,-0.47820404,-0.13140927,-0.060764905,-0.22931616,-0.26292428,0.19590475,-0.15439714,-0.62978554,-0.20807345,-0.58697164,0.19955347,0.23814176,-0.537924,-0.21788627
18,-0.04098874,0.28373918,0.015594545,-0.26292372,-0.078799605,-0.031958744,-0.7356199,-0.19730926,0.34115997,0.1468724,0.050529156,0.008519974,0.45004827,-0.06127154,0.390431,-0.7730339,-0.27023926,0.44570178,0.5607917,0.0106240725,0.5945268,-0.07854575,-0.4346433,-0.1107735,-0.018237554,-0.41990554,-0.07451986,-0.06297732,-0.19384296,-0.27253804,0.18943614,-0.09115834,-0.55203974,-0.20324814,-0.5922176,0.17151111,0.23071682,-0.533481,-0.15357815
19,-0.043162398,0.3864855,-0.25371343,-0.25213242,0.043076288,-0.3164339,-0.7004571,-0.08095757,-0.12652276,0.14128825,0.1796152,-0.007924065,0.4338347,0.024758397,0.6316918,-0.6882822,-0.16299605,0.44481707,0.5236024,0.08547923,0.7834527,-0.06646228,-0.2749815,-0.3544545,-0.035133053,-0.2565814,-0.3190019,-0.07612187,-0.096065745,0.1790697,0.21596159,0.023301492,-0.2644672,-0.2539412,-0.49832407,0.4471255,0.2822029,-0.44072542,-0.63122314
20,0.012587316,0.43754143,0.055150483,-0.17047799,0.13121313,0.031084474,-0.5629589,0.049790066,0.4319456,0.18831153,0.25349373,0.067976125,0.44879797,0.09479564,0.46217877,-0.5033636,0.006436485,0.5483463,0.5111903,0.1896561,0.673778,-0.025714535,-0.15835302,-0.015877694,-0.01094421,-0.14374593,0.017455729,-0.076313026,-0.037340824,-0.37139443,0.2790233,0.06154625,-0.50823146,-0.313239,-0.3580276,0.076294236,0.3598086,-0.33197254,-0.076949954
21,0.057457976,0.5215612,0.008790615,-0.09625772,0.25307402,-0.055573914,-0.42499578,0.20996904,0.22541209,0.22356088,0.36494875,0.14645198,0.44736782,0.18881953,0.6916029,-0.29525286,0.19703001,0.6543524,0.46652243,0.3118246,0.8746148,0.013606155,0.0021561757,-0.30168,0.0024682037,0.015206924,-0.2737049,-0.0853603,0.040528364,-0.02998759,0.34487534,0.12735905,-0.2476353,-0.38467884,-0.20833233,0.18392104,0.44885412,-0.2070623,-0.43012595
22,0.052833375,0.5201032,0.013005215,-0.104124606,0.2501646,-0.041123416,-0.4257887,0.2304849,0.25110134,0.21570313,0.3449106,0.1607988,0.43727365,0.22590245,0.71962255,-0.33683908,0.23850743,0.6845193,0.48146528,0.3687996,0.90729433,-0.0016149875,-0.025322689,-0.285101,0.0061833593,-0.014521397,-0.25985363,-0.0776624,0.025289994,0.025305672,0.31407675,0.103184804,-0.21334043,-0.35393432,-0.2317183,0.23211084,0.41210696,-0.2231072,-0.4127522
